N,P,tests,pass,fail
100000,1,5,5,0
100000,2,5,5,0
100000,4,5,5,0
100000,8,5,5,0
100000,16,5,5,0
100000,20,5,5,0
200000,1,5,5,0
200000,2,5,5,0
200000,4,5,5,0
200000,8,5,5,0
200000,16,5,5,0
200000,20,5,5,0
400000,1,5,5,0
400000,2,5,5,0
400000,4,5,5,0
400000,8,5,5,0
400000,16,5,5,0
400000,20,5,5,0
800000,1,5,5,0
800000,2,5,5,0
800000,4,5,5,0
800000,8,5,5,0
800000,16,5,5,0
800000,20,5,5,0
1600000,1,5,5,0
1600000,2,5,5,0
1600000,4,5,5,0
1600000,8,5,5,0
1600000,16,5,5,0
1600000,20,5,5,0
3200000,1,5,5,0
3200000,2,5,5,0
3200000,4,5,5,0
3200000,8,5,5,0
3200000,16,5,5,0
3200000,20,5,5,0
6400000,1,5,5,0
6400000,2,5,5,0
6400000,4,5,5,0
6400000,8,5,5,0
6400000,16,5,5,0
6400000,20,5,5,0
