N,P,trial,serial_absorbed,parallel_absorbed,diff_absorbed,serial_transmitted,parallel_transmitted,diff_transmitted,serial_reflected,parallel_reflected,diff_reflected,pass
100000,1,0,76244,76475,0.0023100000000000342,104,109,5.000000000000013e-05,23652,23416,0.002360000000000001,1
100000,1,1,76490,76188,0.0030200000000000227,98,81,0.00017,23412,23731,0.0031899999999999984,1
100000,1,2,76350,76117,0.0023299999999999432,103,90,0.00013000000000000012,23547,23793,0.00245999999999999,1
100000,1,3,76365,76242,0.0012300000000000644,89,94,5.000000000000002e-05,23546,23664,0.0011799999999999866,1
100000,1,4,76098,76151,0.0005300000000000304,81,101,0.0002000000000000001,23821,23748,0.0007300000000000084,1
100000,2,0,76244,76288,0.00043999999999999595,104,99,4.9999999999999914e-05,23652,23613,0.00039000000000000146,1
100000,2,1,76490,76293,0.0019700000000000273,98,98,0.0,23412,23609,0.0019699999999999995,1
100000,2,2,76350,76339,0.00010999999999994348,103,92,0.00011000000000000007,23547,23569,0.00021999999999999797,1
100000,2,3,76365,76032,0.003330000000000055,89,92,3.000000000000008e-05,23546,23876,0.0032999999999999974,1
100000,2,4,76098,76104,6.0000000000060005e-05,81,91,0.00010000000000000005,23821,23805,0.00015999999999999348,1
100000,4,0,76244,76402,0.0015800000000000258,104,94,9.999999999999994e-05,23652,23504,0.001480000000000009,1
100000,4,1,76490,76332,0.0015800000000000258,98,107,9.000000000000002e-05,23412,23561,0.001490000000000019,1
100000,4,2,76350,76460,0.0010999999999999899,103,109,5.999999999999994e-05,23547,23431,0.0011600000000000221,1
100000,4,3,76365,76152,0.0021300000000000763,89,74,0.00014999999999999996,23546,23774,0.0022800000000000042,1
100000,4,4,76098,76128,0.00029999999999996696,81,103,0.00022000000000000014,23821,23769,0.0005199999999999927,1
100000,8,0,76244,76169,0.0007500000000000284,104,100,3.999999999999989e-05,23652,23731,0.0007899999999999852,1
100000,8,1,76490,76327,0.0016300000000000203,98,100,2.0000000000000052e-05,23412,23573,0.0016100000000000003,1
100000,8,2,76350,76371,0.00021000000000004349,103,100,3.000000000000008e-05,23547,23529,0.00018000000000001348,1
100000,8,3,76365,76178,0.0018700000000000383,89,91,2.0000000000000052e-05,23546,23731,0.0018499999999999905,1
100000,8,4,76098,76060,0.00037999999999993594,81,102,0.00021000000000000012,23821,23838,0.00017000000000000348,1
100000,16,0,76244,76461,0.0021700000000000053,104,86,0.00017999999999999993,23652,23453,0.0019900000000000195,1
100000,16,1,76490,76594,0.0010399999999999299,98,98,0.0,23412,23308,0.0010399999999999854,1
100000,16,2,76350,76549,0.0019900000000000473,103,88,0.00015000000000000007,23547,23363,0.0018400000000000083,1
100000,16,3,76365,76050,0.003150000000000097,89,78,0.00010999999999999996,23546,23872,0.003259999999999985,1
100000,16,4,76098,76104,6.0000000000060005e-05,81,96,0.00015000000000000007,23821,23800,0.00021000000000001573,1
100000,20,0,76244,76495,0.0025100000000000122,104,87,0.0001699999999999999,23652,23418,0.0023400000000000087,1
100000,20,1,76490,76524,0.00034000000000000696,98,109,0.00011000000000000007,23412,23367,0.00045000000000000595,1
100000,20,2,76350,76503,0.0015300000000000313,103,87,0.0001600000000000001,23547,23410,0.00137000000000001,1
100000,20,3,76365,75982,0.00383,89,84,4.9999999999999914e-05,23546,23934,0.0038799999999999946,1
100000,20,4,76098,75928,0.0017000000000000348,81,80,9.999999999999918e-06,23821,23992,0.0017099999999999893,1
200000,1,0,152592,152765,0.0008650000000000047,191,181,5.000000000000002e-05,47217,47054,0.0008149999999999824,1
200000,1,1,152710,152327,0.001915,195,180,7.499999999999998e-05,47095,47493,0.0019900000000000195,1
200000,1,2,152702,152505,0.0009850000000000136,204,171,0.0001650000000000001,47094,47324,0.0011499999999999844,1
200000,1,3,152499,152313,0.0009299999999999864,177,198,0.00010499999999999995,47324,47489,0.0008249999999999924,1
