neutron_id,step,x_start,y_start,x_end,y_end,event
1,1,0.0000000000,0.0000000000,1.0000000000,0.0000000000,exit_right
2,1,0.0000000000,0.0000000000,1.0000000000,0.0000000000,exit_right
3,1,0.0000000000,0.0000000000,0.9279355937,0.0000000000,scatter
3,2,0.9279355937,0.0000000000,0.9973545200,-0.0771598048,scatter
3,3,0.9973545200,-0.0771598048,0.9248241744,0.0439748833,scatter
3,4,0.9248241744,0.0439748833,1.0000000000,-0.0490825297,exit_right
4,1,0.0000000000,0.0000000000,0.5530483417,0.0000000000,scatter
4,2,0.5530483417,0.0000000000,0.5114883646,-0.6063886483,scatter
4,3,0.5114883646,-0.6063886483,1.0000000000,-0.7508359224,exit_right
5,1,0.0000000000,0.0000000000,1.0000000000,0.0000000000,exit_right
6,1,0.0000000000,0.0000000000,0.1135796143,0.0000000000,absorb
7,1,0.0000000000,0.0000000000,0.2930565239,0.0000000000,scatter
7,2,0.2930565239,0.0000000000,0.3603631702,0.0965801429,scatter
7,3,0.3603631702,0.0965801429,0.4383844773,0.3563225603,scatter
7,4,0.4383844773,0.3563225603,1.0000000000,0.4900980668,exit_right
8,1,0.0000000000,0.0000000000,1.0000000000,0.0000000000,exit_right
9,1,0.0000000000,0.0000000000,0.8129293774,0.0000000000,scatter
9,2,0.8129293774,0.0000000000,1.0000000000,0.0517192283,exit_right
10,1,0.0000000000,0.0000000000,0.3716785872,0.0000000000,scatter
10,2,0.3716785872,0.0000000000,0.0000000000,-0.1137513890,exit_left
11,1,0.0000000000,0.0000000000,1.0000000000,0.0000000000,exit_right
12,1,0.0000000000,0.0000000000,0.2370872891,0.0000000000,scatter
12,2,0.2370872891,0.0000000000,0.2475233579,-0.9325319157,scatter
12,3,0.2475233579,-0.9325319157,0.7016673341,0.0518185811,scatter
12,4,0.7016673341,0.0518185811,0.8808112689,1.3228020902,scatter
12,5,0.8808112689,1.3228020902,1.0000000000,1.3999368941,exit_right
13,1,0.0000000000,0.0000000000,1.0000000000,0.0000000000,exit_right
14,1,0.0000000000,0.0000000000,1.0000000000,0.0000000000,exit_right
15,1,0.0000000000,0.0000000000,1.0000000000,0.0000000000,exit_right
16,1,0.0000000000,0.0000000000,1.0000000000,0.0000000000,exit_right
17,1,0.0000000000,0.0000000000,0.1942491788,0.0000000000,scatter
17,2,0.1942491788,0.0000000000,0.1024668716,0.0052124436,scatter
17,3,0.1024668716,0.0052124436,0.3889542171,0.4382085979,scatter
17,4,0.3889542171,0.4382085979,0.5314457473,-0.5675070516,scatter
17,5,0.5314457473,-0.5675070516,0.3794745372,-0.2427986242,scatter
17,6,0.3794745372,-0.2427986242,0.4779380180,0.1205444407,scatter
17,7,0.4779380180,0.1205444407,1.0000000000,-0.7596402289,exit_right
18,1,0.0000000000,0.0000000000,1.0000000000,0.0000000000,exit_right
19,1,0.0000000000,0.0000000000,1.0000000000,0.0000000000,exit_right
20,1,0.0000000000,0.0000000000,0.8694915884,0.0000000000,scatter
20,2,0.8694915884,0.0000000000,1.0000000000,-0.0487277786,exit_right
21,1,0.0000000000,0.0000000000,0.2337723636,0.0000000000,scatter
21,2,0.2337723636,0.0000000000,0.3918989377,-0.0052771159,scatter
21,3,0.3918989377,-0.0052771159,0.0417794249,0.1122782089,scatter
21,4,0.0417794249,0.1122782089,0.4878192137,-0.0662178905,scatter
21,5,0.4878192137,-0.0662178905,1.0000000000,0.2884265198,exit_right
22,1,0.0000000000,0.0000000000,0.5814402552,0.0000000000,scatter
22,2,0.5814402552,0.0000000000,1.0000000000,0.6558234060,exit_right
23,1,0.0000000000,0.0000000000,1.0000000000,0.0000000000,exit_right
24,1,0.0000000000,0.0000000000,0.0090524239,0.0000000000,scatter
24,2,0.0090524239,0.0000000000,0.0000000000,0.0069006656,exit_left
25,1,0.0000000000,0.0000000000,1.0000000000,0.0000000000,exit_right
26,1,0.0000000000,0.0000000000,1.0000000000,0.0000000000,exit_right
27,1,0.0000000000,0.0000000000,1.0000000000,0.0000000000,exit_right
28,1,0.0000000000,0.0000000000,0.5864858169,0.0000000000,scatter
28,2,0.5864858169,0.0000000000,1.0000000000,0.0795257583,exit_right
29,1,0.0000000000,0.0000000000,1.0000000000,0.0000000000,exit_right
30,1,0.0000000000,0.0000000000,0.5104734988,0.0000000000,scatter
30,2,0.5104734988,0.0000000000,0.3042185455,0.4819471981,scatter
30,3,0.3042185455,0.4819471981,0.1366763534,3.5250668131,scatter
30,4,0.1366763534,3.5250668131,1.0000000000,3.5561697264,exit_right
31,1,0.0000000000,0.0000000000,0.0494421902,0.0000000000,scatter
31,2,0.0494421902,0.0000000000,0.0204460841,1.2566178001,scatter
31,3,0.0204460841,1.2566178001,0.5472937824,1.7669095380,scatter
31,4,0.5472937824,1.7669095380,0.2684844721,2.4594294292,scatter
31,5,0.2684844721,2.4594294292,0.0000000000,1.4839388012,exit_left
32,1,0.0000000000,0.0000000000,1.0000000000,0.0000000000,exit_right
33,1,0.0000000000,0.0000000000,0.1263141523,0.0000000000,scatter
33,2,0.1263141523,0.0000000000,0.0000000000,0.2143375208,exit_left
34,1,0.0000000000,0.0000000000,0.1549677766,0.0000000000,scatter
34,2,0.1549677766,0.0000000000,0.4643641878,0.6422063060,scatter
34,3,0.4643641878,0.6422063060,0.0000000000,0.6629222330,exit_left
35,1,0.0000000000,0.0000000000,0.7997470462,0.0000000000,scatter
35,2,0.7997470462,0.0000000000,0.6838338037,-0.2796751735,scatter
35,3,0.6838338037,-0.2796751735,0.8859336528,-0.5780582345,scatter
35,4,0.8859336528,-0.5780582345,1.0000000000,-0.4968987023,exit_right
36,1,0.0000000000,0.0000000000,0.0643215612,0.0000000000,scatter
36,2,0.0643215612,0.0000000000,1.0000000000,0.3807684993,exit_right
37,1,0.0000000000,0.0000000000,1.0000000000,0.0000000000,exit_right
38,1,0.0000000000,0.0000000000,0.5753907598,0.0000000000,absorb
39,1,0.0000000000,0.0000000000,1.0000000000,0.0000000000,exit_right
40,1,0.0000000000,0.0000000000,1.0000000000,0.0000000000,exit_right
41,1,0.0000000000,0.0000000000,1.0000000000,0.0000000000,exit_right
42,1,0.0000000000,0.0000000000,1.0000000000,0.0000000000,exit_right
43,1,0.0000000000,0.0000000000,1.0000000000,0.0000000000,exit_right
44,1,0.0000000000,0.0000000000,0.1379486658,0.0000000000,scatter
44,2,0.1379486658,0.0000000000,0.4985905654,0.2072954934,scatter
44,3,0.4985905654,0.2072954934,1.0000000000,-2.1611796217,exit_right
45,1,0.0000000000,0.0000000000,1.0000000000,0.0000000000,exit_right
46,1,0.0000000000,0.0000000000,1.0000000000,0.0000000000,exit_right
47,1,0.0000000000,0.0000000000,0.4581014227,0.0000000000,scatter
47,2,0.4581014227,0.0000000000,1.0000000000,-0.2134954256,exit_right
48,1,0.0000000000,0.0000000000,0.1121791355,0.0000000000,scatter
48,2,0.1121791355,0.0000000000,0.0000000000,0.0071102605,exit_left
49,1,0.0000000000,0.0000000000,0.2478571916,0.0000000000,scatter
49,2,0.2478571916,0.0000000000,0.0000000000,0.1734695151,exit_left
50,1,0.0000000000,0.0000000000,0.1668732305,0.0000000000,scatter
50,2,0.1668732305,0.0000000000,0.0000000000,-0.1919977009,exit_left
51,1,0.0000000000,0.0000000000,1.0000000000,0.0000000000,exit_right
52,1,0.0000000000,0.0000000000,0.2666581053,0.0000000000,scatter
52,2,0.2666581053,0.0000000000,0.0000000000,-0.2126477017,exit_left
53,1,0.0000000000,0.0000000000,1.0000000000,0.0000000000,exit_right
54,1,0.0000000000,0.0000000000,1.0000000000,0.0000000000,exit_right
55,1,0.0000000000,0.0000000000,0.4018300753,0.0000000000,scatter
55,2,0.4018300753,0.0000000000,0.0740445749,0.4353749373,scatter
55,3,0.0740445749,0.4353749373,0.0000000000,0.4458689962,exit_left
56,1,0.0000000000,0.0000000000,1.0000000000,0.0000000000,exit_right
57,1,0.0000000000,0.0000000000,1.0000000000,0.0000000000,exit_right
58,1,0.0000000000,0.0000000000,1.0000000000,0.0000000000,exit_right
59,1,0.0000000000,0.0000000000,1.0000000000,0.0000000000,exit_right
60,1,0.0000000000,0.0000000000,0.1501002341,0.0000000000,scatter
60,2,0.1501002341,0.0000000000,1.0000000000,-0.3726755076,exit_right
61,1,0.0000000000,0.0000000000,0.5334798110,0.0000000000,scatter
