N,P,trial,elapsed_seconds,absorbed,transmitted,reflected
100000,1,0,0.006941297999958351,46585,23386,30029
100000,1,1,0.007341088000032414,46471,23091,30438
100000,1,2,0.006850304000010965,46534,23252,30214
100000,1,3,0.006704343000023982,46689,23328,29983
100000,1,4,0.006857742999955008,46600,23002,30398
100000,2,0,0.004096934999950008,46633,23347,30020
100000,2,1,0.003968973999974423,46465,23263,30272
100000,2,2,0.0037446279999926446,46640,23159,30201
100000,2,3,0.0038016170000219063,46577,23234,30189
100000,2,4,0.003988864000007197,46702,22876,30422
100000,3,0,0.003308551000031912,46707,23320,29973
100000,3,1,0.0026066479999826697,46392,23427,30181
100000,3,2,0.0031411630000093282,46544,23314,30142
100000,3,3,0.00265241300002117,46694,23185,30121
100000,3,4,0.0026357319999874562,46614,22927,30459
100000,4,0,0.002396907999980158,46845,23197,29958
100000,4,1,0.0022025789999702283,46495,23473,30032
100000,4,2,0.0021348619999912444,46628,23299,30073
100000,4,3,0.0024276190000023234,46728,23079,30193
100000,4,4,0.0022227360000215413,46374,23156,30470
100000,5,0,0.0020074410000461285,46696,23237,30067
100000,5,1,0.002135821000024407,46577,23365,30058
100000,5,2,0.002394130000027417,46719,23084,30197
100000,5,3,0.002097335000030398,46627,23225,30148
100000,5,4,0.0018712109999796667,46373,23207,30420
100000,6,0,0.0017120430000545639,46577,23362,30061
100000,6,1,0.00205457499998829,46496,23301,30203
100000,6,2,0.0017511610000155997,46779,23091,30130
100000,6,3,0.0017163589999995565,46758,23185,30057
100000,6,4,0.0016751169999906779,46362,23313,30325
100000,7,0,0.0023936049999520037,46656,23238,30106
100000,7,1,0.0024128489999952762,46589,23210,30201
100000,7,2,0.001696023999954832,46771,23028,30201
100000,7,3,0.0022786189999806084,46812,23102,30086
100000,7,4,0.002065168999990874,46332,23310,30358
100000,8,0,0.0017355850000058126,46551,23300,30149
100000,8,1,0.002352620999999999,46525,23275,30200
100000,8,2,0.001869563999946422,46680,23121,30199
100000,8,3,0.0014772029999789993,46716,23036,30248
100000,8,4,0.0020257939999623886,46399,23269,30332
100000,9,0,0.0020066160000169475,46619,23314,30067
100000,9,1,0.001954345999990892,46618,23185,30197
100000,9,2,0.0019833650000009584,46616,23242,30142
100000,9,3,0.0017342340000254808,46673,23084,30243
100000,9,4,0.0019405760000381633,46422,23248,30330
100000,10,0,0.001618298999972012,46524,23433,30043
100000,10,1,0.0017496410000035212,46675,23174,30151
100000,10,2,0.002003370000011273,46487,23290,30223
100000,10,3,0.0018040230000337942,46582,23109,30309
100000,10,4,0.0016245019999701071,46360,23294,30346
100000,11,0,0.0017127689999938411,46613,23295,30092
100000,11,1,0.0017138840000257005,46764,23050,30186
100000,11,2,0.0016908140000282401,46493,23329,30178
100000,11,3,0.001720582999951148,46666,23004,30330
100000,11,4,0.0016943379999929675,46420,23215,30365
100000,12,0,0.0016256540000085806,46617,23276,30107
100000,12,1,0.00157293799998115,46755,23068,30177
100000,12,2,0.001640366999993148,46554,23370,30076
100000,12,3,0.0018287529999838625,46658,23033,30309
100000,12,4,0.0017021059999819954,46346,23232,30422
100000,13,0,0.0015972869999814066,46623,23211,30166
100000,13,1,0.001592627999968954,46841,23088,30071
100000,13,2,0.00164296100001593,46517,23402,30081
100000,13,3,0.001668565999978,46682,22948,30370
100000,13,4,0.0015620140000009997,46485,23152,30363
100000,14,0,0.0018391610000207947,46621,23195,30184
100000,14,1,0.0015701410000019678,46860,23100,30040
100000,14,2,0.001616816000023391,46546,23431,30023
100000,14,3,0.001621309000029214,46725,22912,30363
100000,14,4,0.0015072069999746418,46394,23248,30358
100000,15,0,0.0014976090000118347,46578,23269,30153
100000,15,1,0.0017030610000006163,46867,23161,29972
100000,15,2,0.0015529730000025666,46667,23407,29926
100000,15,3,0.0014934239999888632,46708,22895,30397
100000,15,4,0.0016261190000363968,46387,23292,30321
100000,16,0,0.0017867249999881096,46576,23286,30138
100000,16,1,0.0015742140000156724,46939,23222,29839
100000,16,2,0.0016469660000097974,46594,23464,29942
100000,16,3,0.001677404000020033,46684,22861,30455
100000,16,4,0.001791038000021672,46369,23241,30390
100000,17,0,0.0014914089999820135,46487,23342,30171
100000,17,1,0.001716273999988971,46979,23278,29743
100000,17,2,0.0014379090000034012,46601,23459,29940
100000,17,3,0.0015636890000223502,46659,22931,30410
100000,17,4,0.0015416659999800686,46429,23193,30378
100000,18,0,0.0015719319999902837,46597,23300,30103
100000,18,1,0.0014452290000122048,46934,23250,29816
100000,18,2,0.001958248999983425,46655,23382,29963
100000,18,3,0.0015995119999843155,46617,23005,30378
100000,18,4,0.001479703999962112,46448,23182,30370
100000,19,0,0.0017690869999569259,46654,23289,30057
100000,19,1,0.0016083830000184207,46891,23254,29855
100000,19,2,0.0015321150000318084,46661,23393,29946
100000,19,3,0.0015814120000072762,46533,23012,30455
100000,19,4,0.0015842220000195084,46382,23195,30423
100000,20,0,0.001560148000010031,46621,23340,30039
100000,20,1,0.0017848830000275484,46883,23217,29900
100000,20,2,0.0015560440000399467,46672,23408,29920
100000,20,3,0.0015628879999667333,46564,23023,30413
100000,20,4,0.0016477930000178276,46312,23271,30417
200000,1,0,0.013163119000012102,93081,46632,60287
200000,1,1,0.012995579000005364,93062,46116,60822
200000,1,2,0.012754121000000396,93114,46479,60407
200000,1,3,0.012917143999970904,93117,46450,60433
200000,1,4,0.012864271000012195,93171,46251,60578
200000,2,0,0.00723240099995337,93201,46712,60087
200000,2,1,0.0069657259999758026,92957,46509,60534
200000,2,2,0.007107745999974213,93162,46571,60267
200000,2,3,0.007439258999966114,93319,46451,60230
200000,2,4,0.007000540999968052,93069,46313,60618
200000,3,0,0.00491982599999119,93301,46635,60064
200000,3,1,0.004863321000016185,92994,46487,60519
200000,3,2,0.0048157979999814415,93038,46555,60407
200000,3,3,0.00470333999999184,93312,46524,60164
200000,3,4,0.004691239999999652,93211,46237,60552
200000,4,0,0.003792663000012908,93301,46616,60083
200000,4,1,0.003778983000017888,93307,46392,60301
200000,4,2,0.004047519000039301,93130,46688,60182
200000,4,3,0.003726173000018207,93340,46325,60335
200000,4,4,0.003992008000011538,93092,46239,60669
200000,5,0,0.0031107959999872037,93310,46692,59998
200000,5,1,0.003366949999985991,93237,46549,60214
200000,5,2,0.0033811700000114797,93249,46495,60256
200000,5,3,0.003386124000030577,93194,46492,60314
200000,5,4,0.003250066000020979,92946,46396,60658
200000,6,0,0.0029985870000359682,93108,46752,60140
200000,6,1,0.0027809280000496983,92972,46751,60277
