N,P,avg_time,median_time,stdev_time,speedup,efficiency
100000,1,0.006939,0.006858,0.000240,1.000000,1.000000
100000,2,0.003920,0.003969,0.000144,1.770050,0.885025
100000,3,0.002869,0.002652,0.000331,2.418680,0.806227
100000,4,0.002277,0.002223,0.000128,3.047490,0.761873
100000,5,0.002101,0.002097,0.000193,3.302397,0.660479
100000,6,0.001782,0.001716,0.000155,3.894240,0.649040
100000,7,0.002169,0.002279,0.000299,3.198776,0.456968
100000,8,0.001892,0.001870,0.000327,3.667227,0.458403
100000,9,0.001924,0.001954,0.000109,3.606849,0.400761
100000,10,0.001760,0.001750,0.000158,3.942662,0.394266
100000,11,0.001706,0.001713,0.000013,4.066245,0.369659
100000,12,0.001674,0.001640,0.000098,4.145225,0.345435
100000,13,0.001613,0.001597,0.000043,4.302718,0.330978
100000,14,0.001631,0.001617,0.000125,4.254609,0.303901
100000,15,0.001575,0.001553,0.000090,4.406701,0.293780
100000,16,0.001695,0.001677,0.000093,4.093128,0.255821
100000,17,0.001550,0.001542,0.000105,4.476198,0.263306
100000,18,0.001611,0.001572,0.000204,4.307435,0.239302
100000,19,0.001615,0.001584,0.000090,4.296450,0.226129
100000,20,0.001622,0.001563,0.000099,4.277098,0.213855
200000,1,0.012939,0.012917,0.000153,1.000000,1.000000
200000,2,0.007149,0.007108,0.000193,1.809848,0.904924
200000,3,0.004799,0.004816,0.000100,2.696321,0.898774
200000,4,0.003867,0.003793,0.000143,3.345559,0.836390
200000,5,0.003299,0.003367,0.000119,3.922026,0.784405
200000,6,0.002879,0.002902,0.000112,4.494540,0.749090
200000,7,0.002570,0.002468,0.000168,5.034468,0.719210
200000,8,0.002460,0.002518,0.000110,5.259812,0.657476
200000,9,0.002791,0.002793,0.000156,4.635656,0.515073
200000,10,0.002639,0.002633,0.000139,4.902734,0.490273
200000,11,0.002525,0.002565,0.000111,5.124438,0.465858
200000,12,0.002450,0.002390,0.000150,5.280558,0.440047
200000,13,0.002434,0.002440,0.000124,5.315148,0.408858
200000,14,0.002416,0.002369,0.000076,5.355322,0.382523
200000,15,0.002329,0.002279,0.000158,5.554701,0.370313
200000,16,0.002280,0.002215,0.000135,5.675570,0.354723
200000,17,0.002301,0.002325,0.000086,5.624102,0.330830
200000,18,0.002266,0.002222,0.000146,5.709293,0.317183
200000,19,0.002099,0.002078,0.000068,6.163729,0.324407
200000,20,0.002086,0.002030,0.000125,6.203314,0.310166
400000,1,0.025410,0.025292,0.000585,1.000000,1.000000
400000,2,0.013366,0.013356,0.000152,1.901149,0.950575
400000,3,0.009123,0.009113,0.000143,2.785344,0.928448
400000,4,0.007136,0.007054,0.000276,3.560809,0.890202
400000,5,0.005897,0.005764,0.000319,4.309051,0.861810
400000,6,0.004952,0.004941,0.000205,5.131612,0.855269
400000,7,0.004386,0.004414,0.000137,5.793931,0.827704
400000,8,0.004357,0.004102,0.000418,5.831424,0.728928
400000,9,0.004494,0.004529,0.000137,5.654794,0.628310
400000,10,0.004240,0.004232,0.000037,5.992445,0.599244
400000,11,0.004095,0.004049,0.000124,6.204637,0.564058
400000,12,0.003971,0.004042,0.000162,6.398406,0.533200
400000,13,0.003571,0.003537,0.000091,7.115167,0.547321
400000,14,0.003528,0.003426,0.000177,7.203034,0.514502
400000,15,0.003419,0.003300,0.000200,7.431594,0.495440
400000,16,0.003292,0.003313,0.000108,7.717684,0.482355
400000,17,0.003313,0.003279,0.000086,7.670705,0.451218
400000,18,0.003244,0.003276,0.000078,7.832018,0.435112
