N,P,trial,elapsed_seconds,absorbed,transmitted,reflected
100000,1,0,0.007145286000195483,46585,23386,30029
100000,1,1,0.007354884000051243,46471,23091,30438
100000,1,2,0.0067466000000422355,46534,23252,30214
100000,1,3,0.0066990240002269275,46689,23328,29983
100000,1,4,0.006728812999881484,46600,23002,30398
100000,2,0,0.004281949999949575,46633,23347,30020
100000,2,1,0.004066620000230614,46465,23263,30272
100000,2,2,0.0036933009996573674,46640,23159,30201
100000,2,3,0.003896268000062264,46577,23234,30189
100000,2,4,0.0038952549998612085,46702,22876,30422
100000,3,0,0.002837508000084199,46707,23320,29973
100000,3,1,0.0027460579999569745,46392,23427,30181
100000,3,2,0.0029388380003183556,46544,23314,30142
100000,3,3,0.002714908000143623,46694,23185,30121
100000,3,4,0.0028996490000281483,46614,22927,30459
100000,4,0,0.002512614000352187,46845,23197,29958
100000,4,1,0.00225207399989813,46495,23473,30032
100000,4,2,0.002331746999971074,46628,23299,30073
100000,4,3,0.002439960999709001,46728,23079,30193
100000,4,4,0.0022457559998656507,46374,23156,30470
100000,5,0,0.002101700999901368,46696,23237,30067
100000,5,1,0.0018827859998964414,46577,23365,30058
100000,5,2,0.0021328349998839258,46719,23084,30197
100000,5,3,0.0020416779998413404,46627,23225,30148
100000,5,4,0.001957988999947702,46373,23207,30420
100000,6,0,0.0017752829999153619,46577,23362,30061
100000,6,1,0.0017190659996231261,46496,23301,30203
100000,6,2,0.001751756999965437,46779,23091,30130
100000,6,3,0.0019175960001120984,46758,23185,30057
100000,6,4,0.0017110789999605913,46362,23313,30325
100000,7,0,0.002112630999818066,46656,23238,30106
100000,7,1,0.0023634580002180883,46589,23210,30201
100000,7,2,0.0019720609998330474,46771,23028,30201
100000,7,3,0.0016528309997738688,46812,23102,30086
100000,7,4,0.0019061889997828985,46332,23310,30358
100000,8,0,0.0018457090000083554,46551,23300,30149
100000,8,1,0.0015814970001883921,46525,23275,30200
100000,8,2,0.0017660050002632488,46680,23121,30199
100000,8,3,0.0016652530002829735,46716,23036,30248
100000,8,4,0.0015125600002647843,46399,23269,30332
100000,9,0,0.0017962629999601631,46619,23314,30067
100000,9,1,0.0019047050000153831,46618,23185,30197
100000,9,2,0.0017327290001958318,46616,23242,30142
100000,9,3,0.00186048200021105,46673,23084,30243
100000,9,4,0.0019181480001861928,46422,23248,30330
100000,10,0,0.0018511590001253353,46524,23433,30043
100000,10,1,0.001600588999735919,46675,23174,30151
100000,10,2,0.001771462000306201,46487,23290,30223
100000,10,3,0.0017838010003288218,46582,23109,30309
100000,10,4,0.001867135999873426,46360,23294,30346
100000,11,0,0.0016848739996930817,46613,23295,30092
100000,11,1,0.0017311490000793128,46764,23050,30186
100000,11,2,0.0017294510003011965,46493,23329,30178
100000,11,3,0.001705246000256011,46666,23004,30330
100000,11,4,0.0017471900000600726,46420,23215,30365
100000,12,0,0.0018019520002781064,46617,23276,30107
100000,12,1,0.0016590459999861196,46755,23068,30177
100000,12,2,0.0017424490001758386,46554,23370,30076
100000,12,3,0.001655973000197264,46658,23033,30309
100000,12,4,0.001776499999778025,46346,23232,30422
100000,13,0,0.0015445929998350039,46623,23211,30166
100000,13,1,0.0016470129999106575,46841,23088,30071
100000,13,2,0.0016055930000220542,46517,23402,30081
100000,13,3,0.0015998819999367697,46682,22948,30370
100000,13,4,0.001579809999839199,46485,23152,30363
100000,14,0,0.0015959209999891755,46621,23195,30184
100000,14,1,0.0015533799996774178,46860,23100,30040
100000,14,2,0.001558005000333651,46546,23431,30023
100000,14,3,0.0015874359996814746,46725,22912,30363
100000,14,4,0.0016383990000576887,46394,23248,30358
100000,15,0,0.0015424029998030164,46578,23269,30153
100000,15,1,0.00165592099983769,46867,23161,29972
100000,15,2,0.0014804339998590876,46667,23407,29926
100000,15,3,0.0015382980000140378,46708,22895,30397
100000,15,4,0.001524309999695106,46387,23292,30321
100000,16,0,0.001517644999694312,46576,23286,30138
100000,16,1,0.001450124999792024,46939,23222,29839
100000,16,2,0.0014745110001967987,46594,23464,29942
100000,16,3,0.0015816939999240276,46684,22861,30455
100000,16,4,0.0014564250000148604,46369,23241,30390
100000,17,0,0.001734648999899946,46487,23342,30171
100000,17,1,0.0015781490001245402,46979,23278,29743
100000,17,2,0.001495855000030133,46601,23459,29940
100000,17,3,0.0017131320000771666,46659,22931,30410
100000,17,4,0.0015681570002925582,46429,23193,30378
100000,18,0,0.0014884550000715535,46597,23300,30103
100000,18,1,0.0017511619998913375,46934,23250,29816
100000,18,2,0.0015158070000325097,46655,23382,29963
100000,18,3,0.0016123440000228584,46617,23005,30378
100000,18,4,0.0015009650001047703,46448,23182,30370
100000,19,0,0.0015380750000986154,46654,23289,30057
100000,19,1,0.0016032510002332856,46891,23254,29855
100000,19,2,0.0017184049997922557,46661,23393,29946
100000,19,3,0.0015871239997977682,46533,23012,30455
100000,19,4,0.0014546259999406175,46382,23195,30423
100000,20,0,0.0016292780001094798,46621,23340,30039
100000,20,1,0.0016492239997205616,46883,23217,29900
100000,20,2,0.0015334429999711574,46672,23408,29920
100000,20,3,0.001605964999725984,46564,23023,30413
