N,P,avg_time,median_time,stdev_time,speedup,efficiency
100000,1,0.006935,0.006747,0.000298,1.000000,1.000000
100000,2,0.003967,0.003896,0.000220,1.748294,0.874147
100000,3,0.002827,0.002838,0.000096,2.452762,0.817587
100000,4,0.002356,0.002332,0.000117,2.942977,0.735744
100000,5,0.002023,0.002042,0.000103,3.427364,0.685473
100000,6,0.001775,0.001752,0.000084,3.907094,0.651182
100000,7,0.002001,0.001972,0.000262,3.464976,0.494997
100000,8,0.001674,0.001665,0.000135,4.142218,0.517777
100000,9,0.001842,0.001860,0.000078,3.763936,0.418215
100000,10,0.001775,0.001784,0.000106,3.907374,0.390737
100000,11,0.001720,0.001729,0.000025,4.032911,0.366628
100000,12,0.001727,0.001742,0.000067,4.015161,0.334597
100000,13,0.001595,0.001600,0.000037,4.346882,0.334376
100000,14,0.001587,0.001587,0.000034,4.370855,0.312204
100000,15,0.001548,0.001538,0.000065,4.479133,0.298609
100000,16,0.001496,0.001475,0.000055,4.635395,0.289712
100000,17,0.001618,0.001578,0.000102,4.286138,0.252126
100000,18,0.001574,0.001516,0.000111,4.406632,0.244813
100000,19,0.001580,0.001587,0.000096,4.388368,0.230967
100000,20,0.001591,0.001606,0.000053,4.358809,0.217940
200000,1,0.012845,0.012873,0.000140,1.000000,1.000000
200000,2,0.006904,0.006863,0.000202,1.860542,0.930271
200000,3,0.005049,0.004758,0.000752,2.544206,0.848069
200000,4,0.003923,0.003907,0.000127,3.273968,0.818492
200000,5,0.003324,0.003317,0.000077,3.864594,0.772919
200000,6,0.003027,0.002991,0.000130,4.244014,0.707336
200000,7,0.002660,0.002713,0.000168,4.829014,0.689859
200000,8,0.002368,0.002370,0.000079,5.423616,0.677952
200000,9,0.002753,0.002771,0.000083,4.665686,0.518410
200000,10,0.002567,0.002557,0.000075,5.002988,0.500299
200000,11,0.002568,0.002577,0.000056,5.001274,0.454661
200000,12,0.002507,0.002507,0.000043,5.123740,0.426978
200000,13,0.002488,0.002499,0.000073,5.162232,0.397095
200000,14,0.002332,0.002292,0.000096,5.508991,0.393499
200000,15,0.002338,0.002323,0.000129,5.493446,0.366230
200000,16,0.002241,0.002208,0.000069,5.732274,0.358267
200000,17,0.002215,0.002219,0.000060,5.799262,0.341133
200000,18,0.002206,0.002196,0.000140,5.822545,0.323475
200000,19,0.002117,0.002080,0.000097,6.067582,0.319346
200000,20,0.002054,0.002038,0.000045,6.254180,0.312709
400000,1,0.025357,0.025241,0.000540,1.000000,1.000000
400000,2,0.013194,0.013112,0.000216,1.921804,0.960902
400000,3,0.009034,0.009052,0.000160,2.806818,0.935606
400000,4,0.007057,0.007055,0.000218,3.593193,0.898298
400000,5,0.005879,0.005828,0.000204,4.313042,0.862608
400000,6,0.005246,0.005253,0.000184,4.833989,0.805665
400000,7,0.004520,0.004360,0.000364,5.609686,0.801384
400000,8,0.004664,0.005028,0.000534,5.436401,0.679550
400000,9,0.004451,0.004566,0.000167,5.696588,0.632954
400000,10,0.004276,0.004251,0.000052,5.929880,0.592988
400000,11,0.004216,0.004157,0.000140,6.014774,0.546798
400000,12,0.004066,0.003872,0.000379,6.236124,0.519677
400000,13,0.003865,0.003823,0.000186,6.560644,0.504665
400000,14,0.003537,0.003561,0.000139,7.169264,0.512090
400000,15,0.003485,0.003498,0.000092,7.276798,0.485120
400000,16,0.003515,0.003450,0.000118,7.213640,0.450853
400000,17,0.003320,0.003319,0.000031,7.637123,0.449243
400000,18,0.003248,0.003251,0.000059,7.807346,0.433741
400000,19,0.003165,0.003156,0.000076,8.012074,0.421688
400000,20,0.003180,0.003159,0.000080,7.974719,0.398736
800000,1,0.050609,0.050962,0.000927,1.000000,1.000000
