H,n,absorbed,transmitted,reflected,scatter_events,absorption_events,total_collisions,total_track_length,avg_collisions,avg_path_length,trace_file,elapsed_seconds,read_seconds,compute_seconds,write_seconds
0.5000000000,100000,5448,86155,8397,21923,5448,27371,54609.8805396565,0.2737100000,0.5460988054,/home/chief/github/CCUCoding/CSCI473/Code/monte-carlo_proj/code/data/trace_H_0p5000.csv,0.005062,0.000988,0.003718,0.000356
0.7500000000,100000,8404,80011,11585,33216,8404,41620,83426.3511620990,0.4162000000,0.8342635116,/home/chief/github/CCUCoding/CSCI473/Code/monte-carlo_proj/code/data/trace_H_0p7500.csv,0.004622,0.000060,0.004537,0.000025
1.0000000000,100000,11220,74128,14652,45107,11220,56327,111909.9250919210,0.5632700000,1.1190992509,/home/chief/github/CCUCoding/CSCI473/Code/monte-carlo_proj/code/data/trace_H_1p0000.csv,0.005363,0.000041,0.005303,0.000019
1.2500000000,100000,13994,69087,16919,56067,13994,70061,140300.4391923501,0.7006100000,1.4030043919,/home/chief/github/CCUCoding/CSCI473/Code/monte-carlo_proj/code/data/trace_H_1p2500.csv,0.006311,0.000035,0.006256,0.000020
1.5000000000,100000,16629,64318,19053,67022,16629,83651,167973.9301398975,0.8365100000,1.6797393014,/home/chief/github/CCUCoding/CSCI473/Code/monte-carlo_proj/code/data/trace_H_1p5000.csv,0.006944,0.000040,0.006882,0.000022
1.7500000000,100000,19564,59856,20580,77878,19564,97442,195268.6782548952,0.9744200000,1.9526867825,/home/chief/github/CCUCoding/CSCI473/Code/monte-carlo_proj/code/data/trace_H_1p7500.csv,0.008069,0.000040,0.008006,0.000023
2.0000000000,100000,22072,55541,22387,89168,22072,111240,222682.8572450308,1.1124000000,2.2268285725,/home/chief/github/CCUCoding/CSCI473/Code/monte-carlo_proj/code/data/trace_H_2p0000.csv,0.008332,0.000035,0.008279,0.000018
2.2500000000,100000,24852,51651,23497,99362,24852,124214,247931.0246306984,1.2421400000,2.4793102463,/home/chief/github/CCUCoding/CSCI473/Code/monte-carlo_proj/code/data/trace_H_2p2500.csv,0.008898,0.000038,0.008845,0.000015
2.5000000000,100000,27491,48144,24365,108507,27491,135998,272081.5877829372,1.3599800000,2.7208158778,/home/chief/github/CCUCoding/CSCI473/Code/monte-carlo_proj/code/data/trace_H_2p5000.csv,0.010033,0.000034,0.009973,0.000026
2.7500000000,100000,29777,44622,25601,118389,29777,148166,295902.0319430141,1.4816600000,2.9590203194,/home/chief/github/CCUCoding/CSCI473/Code/monte-carlo_proj/code/data/trace_H_2p7500.csv,0.010486,0.000040,0.010426,0.000020
3.0000000000,100000,32118,41508,26374,128374,32118,160492,319415.6503014229,1.6049200000,3.1941565030,/home/chief/github/CCUCoding/CSCI473/Code/monte-carlo_proj/code/data/trace_H_3p0000.csv,0.010597,0.000042,0.010539,0.000016
3.2500000000,100000,34193,38657,27150,136786,34193,170979,340905.4631989814,1.7097900000,3.4090546320,/home/chief/github/CCUCoding/CSCI473/Code/monte-carlo_proj/code/data/trace_H_3p2500.csv,0.011141,0.000034,0.011090,0.000017
3.5000000000,100000,36148,35856,27996,145088,36148,181236,361539.6797332923,1.8123600000,3.6153967973,/home/chief/github/CCUCoding/CSCI473/Code/monte-carlo_proj/code/data/trace_H_3p5000.csv,0.011634,0.000033,0.011587,0.000014
3.7500000000,100000,38094,33446,28460,152859,38094,190953,382053.6060523433,1.9095300000,3.8205360605,/home/chief/github/CCUCoding/CSCI473/Code/monte-carlo_proj/code/data/trace_H_3p7500.csv,0.012090,0.000044,0.012032,0.000014
4.0000000000,100000,39916,31263,28821,159749,39916,199665,399577.5594270828,1.9966500000,3.9957755943,/home/chief/github/CCUCoding/CSCI473/Code/monte-carlo_proj/code/data/trace_H_4p0000.csv,0.012456,0.000037,0.012404,0.000015
4.2500000000,100000,41668,29012,29320,166966,41668,208634,416898.9116149796,2.0863400000,4.1689891161,/home/chief/github/CCUCoding/CSCI473/Code/monte-carlo_proj/code/data/trace_H_4p2500.csv,0.013560,0.000040,0.013498,0.000022
4.5000000000,100000,43437,26847,29716,174122,43437,217559,434559.1752028510,2.1755900000,4.3455917520,/home/chief/github/CCUCoding/CSCI473/Code/monte-carlo_proj/code/data/trace_H_4p5000.csv,0.013322,0.000034,0.013272,0.000016
4.7500000000,100000,45119,25256,29625,179652,45119,224771,449342.0099484955,2.2477100000,4.4934200995,/home/chief/github/CCUCoding/CSCI473/Code/monte-carlo_proj/code/data/trace_H_4p7500.csv,0.013817,0.000038,0.013764,0.000015
5.0000000000,100000,46866,23027,30107,186809,46866,233675,465782.6357503559,2.3367500000,4.6578263575,/home/chief/github/CCUCoding/CSCI473/Code/monte-carlo_proj/code/data/trace_H_5p0000.csv,0.014252,0.000034,0.014203,0.000015
