neutron_id,step,x_start,y_start,x_end,y_end,event
100,1,0.0000000000,0.0000000000,1.1183670828,0.0000000000,scatter
100,2,1.1183670828,0.0000000000,1.2434919017,0.2927962011,scatter
100,3,1.2434919017,0.2927962011,1.1658242986,0.4619405857,scatter
100,4,1.1658242986,0.4619405857,1.7500000000,-4.4472880207,exit_right
200,1,0.0000000000,0.0000000000,1.7500000000,0.0000000000,exit_right
300,1,0.0000000000,0.0000000000,0.8009971504,0.0000000000,absorb
400,1,0.0000000000,0.0000000000,1.2202695442,0.0000000000,scatter
400,2,1.2202695442,0.0000000000,0.5899254785,-0.5475311201,absorb
500,1,0.0000000000,0.0000000000,1.7500000000,0.0000000000,exit_right
600,1,0.0000000000,0.0000000000,1.7500000000,0.0000000000,exit_right
700,1,0.0000000000,0.0000000000,1.7500000000,0.0000000000,exit_right
800,1,0.0000000000,0.0000000000,0.9517801186,0.0000000000,absorb
900,1,0.0000000000,0.0000000000,1.7500000000,0.0000000000,exit_right
1000,1,0.0000000000,0.0000000000,1.7500000000,0.0000000000,exit_right
1100,1,0.0000000000,0.0000000000,0.2212523440,0.0000000000,scatter
1100,2,0.2212523440,0.0000000000,0.0000000000,-0.2001243041,exit_left
1200,1,0.0000000000,0.0000000000,0.2082545399,0.0000000000,scatter
1200,2,0.2082545399,0.0000000000,0.0000000000,-0.3104334130,exit_left
1300,1,0.0000000000,0.0000000000,0.9257227211,0.0000000000,absorb
1400,1,0.0000000000,0.0000000000,0.1884332106,0.0000000000,absorb
1500,1,0.0000000000,0.0000000000,1.7500000000,0.0000000000,exit_right
1600,1,0.0000000000,0.0000000000,0.8730155227,0.0000000000,scatter
1600,2,0.8730155227,0.0000000000,0.0000000000,-0.1993801751,exit_left
1700,1,0.0000000000,0.0000000000,1.7500000000,0.0000000000,exit_right
1800,1,0.0000000000,0.0000000000,1.7500000000,0.0000000000,exit_right
1900,1,0.0000000000,0.0000000000,1.4665894760,0.0000000000,scatter
1900,2,1.4665894760,0.0000000000,0.1161978784,-0.4981340108,absorb
2000,1,0.0000000000,0.0000000000,1.7500000000,0.0000000000,exit_right
