N,P,trial,elapsed_seconds,absorbed,transmitted,reflected
100000,1,0,0.007007648000012523,46585,23386,30029
100000,1,1,0.007268299999964256,46471,23091,30438
100000,1,2,0.006992880000098012,46534,23252,30214
100000,1,3,0.006830829999898924,46689,23328,29983
100000,1,4,0.0071662860000287765,46600,23002,30398
100000,2,0,0.004341950000025463,46633,23347,30020
100000,2,1,0.0040984290000096735,46465,23263,30272
100000,2,2,0.0038812250001001303,46640,23159,30201
100000,2,3,0.004154979999952957,46577,23234,30189
100000,2,4,0.00394779499993092,46702,22876,30422
100000,3,0,0.0027942269999812197,46707,23320,29973
100000,3,1,0.0027113070000268635,46392,23427,30181
100000,3,2,0.002722869999956856,46544,23314,30142
100000,3,3,0.0028879760000108945,46694,23185,30121
100000,3,4,0.003256607000025724,46614,22927,30459
100000,4,0,0.0027646140000570085,46845,23197,29958
100000,4,1,0.002227118999940103,46495,23473,30032
100000,4,2,0.002229575000001205,46628,23299,30073
100000,4,3,0.0022212300000319374,46728,23079,30193
100000,4,4,0.0021996770000214383,46374,23156,30470
100000,5,0,0.002171476999933475,46696,23237,30067
100000,5,1,0.0024084699999775694,46577,23365,30058
100000,5,2,0.001991353999983403,46719,23084,30197
100000,5,3,0.0019886390000465326,46627,23225,30148
100000,5,4,0.0022313240000357837,46373,23207,30420
100000,6,0,0.0022680400001036105,46577,23362,30061
100000,6,1,0.0019463930000256369,46496,23301,30203
100000,6,2,0.00250112099990929,46779,23091,30130
100000,6,3,0.0021329889999606166,46758,23185,30057
100000,6,4,0.0017879880000464254,46362,23313,30325
100000,7,0,0.002192497999999432,46656,23238,30106
100000,7,1,0.0016839780000736937,46589,23210,30201
100000,7,2,0.002233882000041376,46771,23028,30201
100000,7,3,0.002128696999989188,46812,23102,30086
100000,7,4,0.0020738399999800095,46332,23310,30358
100000,8,0,0.0018972969999140332,46551,23300,30149
100000,8,1,0.001888883999981772,46525,23275,30200
100000,8,2,0.0018780030000016268,46680,23121,30199
100000,8,3,0.001808914999969602,46716,23036,30248
100000,8,4,0.0019040720000020883,46399,23269,30332
100000,9,0,0.0019106649999685033,46619,23314,30067
100000,9,1,0.0018102280000675819,46618,23185,30197
100000,9,2,0.002211903000102211,46616,23242,30142
100000,9,3,0.0020572070000071108,46673,23084,30243
100000,9,4,0.0019782220000479356,46422,23248,30330
100000,10,0,0.0021784599999818965,46524,23433,30043
100000,10,1,0.0018696029999318853,46675,23174,30151
100000,10,2,0.0017779940000082206,46487,23290,30223
100000,10,3,0.0018087060000198107,46582,23109,30309
100000,10,4,0.0017826719999902707,46360,23294,30346
100000,11,0,0.0017684339999277654,46613,23295,30092
100000,11,1,0.0019371210000826977,46764,23050,30186
100000,11,2,0.0019390919999295875,46493,23329,30178
100000,11,3,0.001649109000027238,46666,23004,30330
100000,11,4,0.001802992999955677,46420,23215,30365
100000,12,0,0.0017106760000160648,46617,23276,30107
100000,12,1,0.0017940679999810527,46755,23068,30177
100000,12,2,0.0019268039999360553,46554,23370,30076
100000,12,3,0.0019727769999917655,46658,23033,30309
100000,12,4,0.0020673989999977493,46346,23232,30422
100000,13,0,0.0019963770000686054,46623,23211,30166
100000,13,1,0.0017455559999461912,46841,23088,30071
100000,13,2,0.002320655999938026,46517,23402,30081
100000,13,3,0.00196097799994277,46682,22948,30370
100000,13,4,0.0019540910000159784,46485,23152,30363
100000,14,0,0.0017162670000061553,46621,23195,30184
100000,14,1,0.001656452000020181,46860,23100,30040
100000,14,2,0.0017136089999212345,46546,23431,30023
100000,14,3,0.001990841000065302,46725,22912,30363
100000,14,4,0.001715190000027178,46394,23248,30358
100000,15,0,0.00220586699992964,46578,23269,30153
100000,15,1,0.001980564000064078,46867,23161,29972
100000,15,2,0.001805251999940083,46667,23407,29926
100000,15,3,0.001796474999991915,46708,22895,30397
100000,15,4,0.001828454999895257,46387,23292,30321
100000,16,0,0.0015926419999914287,46576,23286,30138
100000,16,1,0.00169173699998737,46939,23222,29839
100000,16,2,0.0016110279999566046,46594,23464,29942
100000,16,3,0.0018123309999964476,46684,22861,30455
100000,16,4,0.0017294360000050801,46369,23241,30390
100000,17,0,0.0018519420000302489,46487,23342,30171
100000,17,1,0.0020301010000594033,46979,23278,29743
100000,17,2,0.001859890999980962,46601,23459,29940
100000,17,3,0.0017536020000079588,46659,22931,30410
100000,17,4,0.001982706999910988,46429,23193,30378
100000,18,0,0.002331284000092637,46597,23300,30103
100000,18,1,0.0017780919999950129,46934,23250,29816
100000,18,2,0.0017078329999549169,46655,23382,29963
100000,18,3,0.0016154420000020764,46617,23005,30378
100000,18,4,0.0016335330000174508,46448,23182,30370
100000,19,0,0.0015777920000346057,46654,23289,30057
100000,19,1,0.0019054769999229393,46891,23254,29855
100000,19,2,0.0018305479999298768,46661,23393,29946
100000,19,3,0.001526701999978286,46533,23012,30455
100000,19,4,0.0015268999999307198,46382,23195,30423
100000,20,0,0.001589808000062476,46621,23340,30039
100000,20,1,0.0015336899999738307,46883,23217,29900
100000,20,2,0.0016491099999029757,46672,23408,29920
100000,20,3,0.0019066099999918151,46564,23023,30413
100000,20,4,0.0015414670000382102,46312,23271,30417
200000,1,0,0.013360050000073898,93081,46632,60287
200000,1,1,0.013159933999986606,93062,46116,60822
200000,1,2,0.01285487000006924,93114,46479,60407
200000,1,3,0.013034632000085367,93117,46450,60433
200000,1,4,0.012832619000050727,93171,46251,60578
200000,2,0,0.007481545000018741,93201,46712,60087
200000,2,1,0.006911209999998391,92957,46509,60534
200000,2,2,0.0069942590000664495,93162,46571,60267
200000,2,3,0.006950692000032177,93319,46451,60230
200000,2,4,0.006730551000032392,93069,46313,60618
200000,3,0,0.004823219000058998,93301,46635,60064
200000,3,1,0.005834781999965344,92994,46487,60519
200000,3,2,0.004817353000021285,93038,46555,60407
200000,3,3,0.004719195999996373,93312,46524,60164
200000,3,4,0.004965553000033651,93211,46237,60552
200000,4,0,0.0037750430000187407,93301,46616,60083
200000,4,1,0.0038556310000785743,93307,46392,60301
200000,4,2,0.0037766289999581204,93130,46688,60182
200000,4,3,0.003837455000052614,93340,46325,60335
200000,4,4,0.003800554999997985,93092,46239,60669
200000,5,0,0.003787006000038673,93310,46692,59998
200000,5,1,0.00387690599995949,93237,46549,60214
200000,5,2,0.0038219739999476587,93249,46495,60256
200000,5,3,0.0033565290000296955,93194,46492,60314
200000,5,4,0.0033246789998884196,92946,46396,60658
200000,6,0,0.003697247999980391,93108,46752,60140
200000,6,1,0.003768346000015299,92972,46751,60277
200000,6,2,0.003939595000019835,93366,46355,60279
200000,6,3,0.0036554559999331104,93230,46461,60309
200000,6,4,0.003361030000064602,93017,46445,60538
200000,7,0,0.0028111609999541542,93089,46566,60345
200000,7,1,0.0035179369999696064,92878,46576,60546
200000,7,2,0.003358177999984946,93383,46285,60332
200000,7,3,0.0028423009999869464,93341,46354,60305
200000,7,4,0.0035326759999634305,93060,46419,60521
200000,8,0,0.0030227679999370594,93151,46454,60395
200000,8,1,0.0025171039999349887,92938,46492,60570
200000,8,2,0.0030338079999410184,93408,46337,60255
200000,8,3,0.0029404769999246128,93314,46362,60324
200000,8,4,0.0030171079999945505,93090,46509,60401
200000,9,0,0.002845799000056104,93094,46503,60403
200000,9,1,0.0027389790000142966,92997,46279,60724
200000,9,2,0.002768256999956975,93290,46247,60463
200000,9,3,0.002844084000003022,93127,46540,60333
200000,9,4,0.002917556999932458,93054,46574,60372
200000,10,0,0.002727305999997043,93108,46496,60396
200000,10,1,0.002852838999956475,93071,46300,60629
200000,10,2,0.0026720920000116166,93057,46360,60583
200000,10,3,0.0026505869999482456,93243,46420,60337
200000,10,4,0.002774685999952453,93061,46615,60324
200000,11,0,0.0025142470000218964,93159,46411,60430
200000,11,1,0.0028459090000296783,93168,46291,60541
200000,11,2,0.002605417999916426,93163,46380,60457
200000,11,3,0.002783359999966706,93240,46420,60340
200000,11,4,0.0026749190000145973,93034,46613,60353
200000,12,0,0.002559689999998227,93336,46405,60259
200000,12,1,0.002648301000022002,93250,46258,60492
200000,12,2,0.0026859939999894777,93091,46466,60443
200000,12,3,0.0027512870000236944,93276,46451,60273
200000,12,4,0.0026188450000290686,92991,46565,60444
200000,13,0,0.002546306999988701,93384,46310,60306
200000,13,1,0.0024927870000510666,93277,46313,60410
200000,13,2,0.0024777370000492738,93185,46507,60308
200000,13,3,0.0025329500000452754,93157,46497,60346
200000,13,4,0.0023294849999047074,93095,46497,60408
200000,14,0,0.0026084859999855325,93425,46291,60284
200000,14,1,0.002602416999934576,93336,46349,60315
200000,14,2,0.0023477200001025267,93183,46493,60324
200000,14,3,0.0024089700000331504,93121,46378,60501
200000,14,4,0.0024285509999799615,92990,46631,60379
200000,15,0,0.002222145000018827,93251,46388,60361
200000,15,1,0.0022509269999773096,93420,46316,60264
200000,15,2,0.002394469999899229,93162,46472,60366
200000,15,3,0.0022612619999335948,93029,46363,60608
200000,15,4,0.0022072940000725794,92955,46611,60434
200000,16,0,0.0021453639999435836,93267,46467,60266
200000,16,1,0.002197441000021172,93361,46432,60207
200000,16,2,0.0025329069999315834,93101,46472,60427
200000,16,3,0.0024096099999724174,93142,46271,60587
200000,16,4,0.0023365360000298097,92907,46585,60508
200000,17,0,0.0022071399999958885,93162,46549,60289
200000,17,1,0.0022067359999482505,93339,46566,60095
200000,17,2,0.002376103999949919,93206,46562,60232
200000,17,3,0.0025454210000361854,93053,46276,60671
200000,17,4,0.0022653419999869584,93011,46423,60566
200000,18,0,0.002533147999997709,93343,46527,60130
200000,18,1,0.0022417610000502464,93344,46604,60052
200000,18,2,0.0021688700001050165,93222,46526,60252
200000,18,3,0.0024385250000023007,93126,46346,60528
200000,18,4,0.0024242859999503708,92966,46437,60597
200000,19,0,0.002231530000017301,93352,46580,60068
200000,19,1,0.002390515999991294,93408,46592,60000
200000,19,2,0.0023873040000808032,93191,46558,60251
200000,19,3,0.0023076180000316526,93010,46297,60693
200000,19,4,0.002144745000009607,92984,46487,60529
200000,20,0,0.00212034899993796,93209,46738,60053
200000,20,1,0.002375521999965713,93436,46612,59952
200000,20,2,0.002265515999965828,93165,46552,60283
200000,20,3,0.0024650559998917743,93031,46286,60683
200000,20,4,0.002130437999994683,92855,46533,60612
400000,1,0,0.02652766200003498,186664,93154,120182
400000,1,1,0.02516568900000493,186267,92666,121067
400000,1,2,0.025281667000058405,185860,93107,121033
400000,1,3,0.025768061000007947,186076,92993,120931
400000,1,4,0.025328140999931748,186191,92796,121013
400000,2,0,0.013118252000026587,185928,93355,120717
400000,2,1,0.013255748000005951,186235,92829,120936
400000,2,2,0.013182382999957554,186415,93007,120578
400000,2,3,0.013412133999963771,186290,92620,121090
400000,2,4,0.012883568999995987,186222,92743,121035
400000,3,0,0.009260691000008592,186161,93385,120454
400000,3,1,0.00958302599997296,186338,92988,120674
400000,3,2,0.00890921299992442,186129,93174,120697
400000,3,3,0.009118068000020685,186582,92660,120758
400000,3,4,0.009089522000067518,186257,92669,121074
400000,4,0,0.00838146700004927,186541,93092,120367
400000,4,1,0.007427438999911828,186263,93039,120698
400000,4,2,0.007210778000057871,186366,93133,120501
400000,4,3,0.006872629999975288,186763,92758,120479
400000,4,4,0.006824338999990687,186183,92937,120880
400000,5,0,0.006128505999981826,186417,93258,120325
400000,5,1,0.006090140000083011,186226,93001,120773
400000,5,2,0.00622784799998044,186331,93120,120549
400000,5,3,0.005783144000020002,186651,93050,120299
400000,5,4,0.006019656999910694,185911,93079,121010
400000,6,0,0.005787109999914719,186201,93468,120331
400000,6,1,0.005507664999981898,186105,92919,120976
400000,6,2,0.005284730000084892,186282,92939,120779
400000,6,3,0.005162642000072992,186524,92958,120518
400000,6,4,0.005342683999970177,186008,93028,120964
400000,7,0,0.004712440000048446,186137,93315,120548
400000,7,1,0.004485196000018732,186281,92724,120995
400000,7,2,0.004799236000053497,186110,92951,120939
400000,7,3,0.004503422000084356,186670,92783,120547
400000,7,4,0.004690217999950619,185932,93162,120906
400000,8,0,0.004632578000041576,186168,93248,120584
400000,8,1,0.00478361299997232,186309,92826,120865
400000,8,2,0.004728949999957877,186062,93216,120722
400000,8,3,0.004568101000018032,186458,92820,120722
400000,8,4,0.004550103000042327,186150,93031,120819
400000,9,0,0.0044126359999836495,186283,93341,120376
400000,9,1,0.004986130000020239,186439,92778,120783
400000,9,2,0.0050231529999109625,186211,93187,120602
400000,9,3,0.005005073000006632,186012,93147,120841
400000,9,4,0.005008814000007078,186255,92922,120823
400000,10,0,0.004463923999992403,186260,93467,120273
400000,10,1,0.004507848999992348,186530,92780,120690
400000,10,2,0.0048997740000231715,186159,93068,120773
400000,10,3,0.004473899999993591,186133,92935,120932
400000,10,4,0.004252921999977843,186268,92827,120905
400000,11,0,0.004391781000094852,186436,93176,120388
400000,11,1,0.004184797999982948,186162,92991,120847
400000,11,2,0.004237211000031493,186251,93062,120687
400000,11,3,0.004063165999923513,186183,92992,120825
400000,11,4,0.0042908929999612155,186435,92680,120885
400000,12,0,0.004110090000040145,186500,93015,120485
400000,12,1,0.004015997999999854,186171,93012,120817
400000,12,2,0.004146664000018063,186252,93098,120650
400000,12,3,0.004600175000064155,186172,93056,120772
400000,12,4,0.004208488000017496,186297,92834,120869
400000,13,0,0.0038346549999914714,186447,92788,120765
400000,13,1,0.003928544000018519,186172,92951,120877
