N,P,avg_time,median_time,stdev_time,speedup,efficiency
100000,1,0.007053,0.007008,0.000169,1.000000,1.000000
100000,2,0.004085,0.004098,0.000181,1.726659,0.863330
100000,3,0.002875,0.002794,0.000225,2.453627,0.817876
100000,4,0.002328,0.002227,0.000244,3.029144,0.757286
100000,5,0.002158,0.002171,0.000177,3.268009,0.653602
100000,6,0.002127,0.002133,0.000277,3.315549,0.552592
100000,7,0.002063,0.002129,0.000220,3.419597,0.488514
100000,8,0.001875,0.001889,0.000038,3.760830,0.470104
100000,9,0.001994,0.001978,0.000152,3.537836,0.393093
100000,10,0.001883,0.001809,0.000169,3.744750,0.374475
100000,11,0.001819,0.001803,0.000123,3.876763,0.352433
100000,12,0.001894,0.001927,0.000142,3.723287,0.310274
100000,13,0.001996,0.001961,0.000207,3.534491,0.271884
100000,14,0.001758,0.001715,0.000132,4.010976,0.286498
100000,15,0.001923,0.001828,0.000175,3.667190,0.244479
100000,16,0.001687,0.001692,0.000090,4.179829,0.261239
100000,17,0.001896,0.001860,0.000111,3.720726,0.218866
100000,18,0.001813,0.001708,0.000297,3.889833,0.216102
100000,19,0.001673,0.001578,0.000181,4.214674,0.221825
100000,20,0.001644,0.001590,0.000154,4.289903,0.214495
200000,1,0.013048,0.013035,0.000220,1.000000,1.000000
200000,2,0.007014,0.006951,0.000280,1.860432,0.930216
200000,3,0.005032,0.004823,0.000457,2.593078,0.864359
200000,4,0.003809,0.003801,0.000036,3.425625,0.856406
200000,5,0.003633,0.003787,0.000269,3.591224,0.718245
200000,6,0.003684,0.003697,0.000211,3.541595,0.590266
200000,7,0.003212,0.003358,0.000359,4.061828,0.580261
200000,8,0.002906,0.003017,0.000221,4.489775,0.561222
200000,9,0.002823,0.002844,0.000071,4.622289,0.513588
200000,10,0.002736,0.002727,0.000082,4.770028,0.477003
200000,11,0.002685,0.002675,0.000133,4.860162,0.441833
200000,12,0.002653,0.002648,0.000072,4.918692,0.409891
200000,13,0.002476,0.002493,0.000087,5.270272,0.405406
200000,14,0.002479,0.002429,0.000119,5.263097,0.375935
200000,15,0.002267,0.002251,0.000074,5.755252,0.383683
200000,16,0.002324,0.002337,0.000157,5.613741,0.350859
200000,17,0.002320,0.002265,0.000144,5.623959,0.330821
200000,18,0.002361,0.002424,0.000151,5.525906,0.306995
200000,19,0.002292,0.002308,0.000105,5.692178,0.299588
200000,20,0.002271,0.002266,0.000151,5.744720,0.287236
400000,1,0.025614,0.025328,0.000559,1.000000,1.000000
400000,2,0.013170,0.013182,0.000194,1.944832,0.972416
400000,3,0.009192,0.009118,0.000252,2.786549,0.928850
400000,4,0.007343,0.007211,0.000631,3.488096,0.872024
400000,5,0.006050,0.006090,0.000167,4.233858,0.846772
400000,6,0.005417,0.005343,0.000241,4.728522,0.788087
400000,7,0.004638,0.004690,0.000138,5.522570,0.788939
400000,8,0.004653,0.004633,0.000101,5.505280,0.688160
400000,9,0.004887,0.005005,0.000266,5.241129,0.582348
