n,p,a,b,answer,time_seconds,speedup,efficiency
100000000,1,10.0,20.0,2333.333333332452,0.348447,1.0,1.0
100000000,2,10.0,20.0,2333.333333333584,0.173142,2.012492636102159,1.0062463180510794
100000000,3,10.0,20.0,2333.333333333147,0.114422,3.045279753893482,1.0150932512978275
100000000,4,10.0,20.0,2333.333333333384,0.086666,4.020573235178732,1.005143308794683
100000000,5,10.0,20.0,2333.333333333177,0.069617,5.005199879339816,1.0010399758679633
100000000,6,10.0,20.0,2333.333333333259,0.05852,5.954323308270676,0.9923872180451127
100000000,7,10.0,20.0,2333.333333333227,0.049342,7.061874265331767,1.008839180761681
100000000,8,10.0,20.0,2333.333333333365,0.043651,7.982566264232205,0.9978207830290257
100000000,9,10.0,20.0,2333.333333333316,0.03873,8.99682416731216,0.9996471297013512
100000000,10,10.0,20.0,2333.333333333313,0.035552,9.80105198019802,0.980105198019802
100000000,11,10.0,20.0,2333.33333333339,0.03164,11.012863463969659,1.0011694058154235
100000000,12,10.0,20.0,2333.333333333347,0.029407,11.849117557044242,0.9874264630870201
100000000,13,10.0,20.0,2333.333333333335,0.026913,12.947163081038903,0.9959356216183772
100000000,14,10.0,20.0,2333.333333333323,0.025432,13.701124567474048,0.9786517548195749
100000000,15,10.0,20.0,2333.33333333343,0.023548,14.79730762697469,0.9864871751316461
100000000,16,10.0,20.0,2333.333333333353,0.022879,15.229992569605315,0.9518745356003322
100000000,17,10.0,20.0,2333.333333333388,0.020632,16.88866808840636,0.9934510640239035
100000000,18,10.0,20.0,2333.333333333321,0.019795,17.602778479413995,0.9779321377452219
100000000,19,10.0,20.0,2333.333333333379,0.018465,18.870674248578393,0.993193381504126
100000000,20,10.0,20.0,2333.333333333384,0.017553,19.85113655785336,0.992556827892668
100000000,21,10.0,20.0,2333.333333333343,0.017216,20.239718866171007,0.9637961364843337
100000000,22,10.0,20.0,2333.33333333335,0.016145,21.582347475998763,0.9810157943635801
100000000,23,10.0,20.0,2333.333333333357,0.016162,21.55964608340552,0.9373759166698052
100000000,24,10.0,20.0,2333.333333333387,0.015542,22.419701454124308,0.9341542272551795
100000000,25,10.0,20.0,2333.333333333368,0.014486,24.054052188319755,0.9621620875327902
100000000,26,10.0,20.0,2333.333333333344,0.014213,24.516076831070148,0.9429260319642364
100000000,27,10.0,20.0,2333.33333333336,0.01354,25.734638109305763,0.9531347447891023
100000000,28,10.0,20.0,2333.333333333346,0.01359,25.639955849889628,0.9157127089246295
100000000,29,10.0,20.0,2333.333333333348,0.013055,26.690693220988127,0.9203687317582113
100000000,30,10.0,20.0,2333.333333333322,0.012526,27.81789877055724,0.927263292351908
100000000,31,10.0,20.0,2333.33333333332,0.012386,28.13232682060391,0.9074944135678681
100000000,32,10.0,20.0,2333.33333333332,0.011901,29.278800100831862,0.9149625031509957
100000000,33,10.0,20.0,2333.333333333349,0.012092,28.81632484287132,0.8732219649354945
100000000,34,10.0,20.0,2333.333333333363,0.011239,31.00338108372631,0.9118641495213621
100000000,35,10.0,20.0,2333.333333333334,0.011458,30.41080467795427,0.8688801336558363
100000000,36,10.0,20.0,2333.333333333332,0.01113,31.307008086253372,0.8696391135070382
100000000,37,10.0,20.0,2333.333333333339,0.010818,32.209927897947864,0.8705385918364288
100000000,38,10.0,20.0,2333.333333333328,0.010826,32.18612599297986,0.8470033156047332
100000000,39,10.0,20.0,2333.333333333297,0.010052,34.664444886589735,0.8888319201689675
100000000,40,10.0,20.0,2333.333333333365,0.010134,34.38395500296033,0.8595988750740082
100000000,41,10.0,20.0,2333.333333333342,0.009846,35.3897014015844,0.8631634488191317
100000000,42,10.0,20.0,2333.33333333333,0.009919,35.1292468998891,0.83641064047355
100000000,43,10.0,20.0,2333.333333333315,0.009447,36.88440774849158,0.8577769243835252
100000000,44,10.0,20.0,2333.333333333338,0.009141,38.11913357400722,0.8663439448638005
100000000,45,10.0,20.0,2333.333333333323,0.009391,37.104355233734424,0.8245412274163205
100000000,46,10.0,20.0,2333.333333333359,0.009408,37.03730867346939,0.8051588842058564
100000000,47,10.0,20.0,2333.333333333317,0.009238,37.718878545139646,0.802529330747652
100000000,48,10.0,20.0,2333.333333333308,0.009454,36.8570975248572,0.767856198434525
100000000,49,10.0,20.0,2333.333333333317,0.00911,38.24884742041712,0.7805887228656555
100000000,50,10.0,20.0,2333.333333333323,0.009103,38.27825991431396,0.7655651982862792
100000000,51,10.0,20.0,2333.333333333346,0.009459,36.83761496986997,0.7223061758798033
100000000,52,10.0,20.0,2333.333333333326,0.008619,40.42777584406544,0.7774572277704892
100000000,53,10.0,20.0,2333.33333333335,0.0098,35.55581632653061,0.6708644589911436
100000000,54,10.0,20.0,2333.33333333333,0.00993,35.09033232628399,0.6498209690052591
100000000,55,10.0,20.0,2333.333333333363,0.007833,44.48448870164688,0.8088088854844887
100000000,56,10.0,20.0,2333.333333333321,0.008826,39.47960571040109,0.7049929591143052
100000000,57,10.0,20.0,2333.333333333336,0.008375,41.60561194029851,0.7299230164964651
100000000,58,10.0,20.0,2333.333333333331,0.008255,42.210417928528166,0.7277658263539339
100000000,59,10.0,20.0,2333.333333333337,0.007937,43.90160010079375,0.744094916962606
100000000,60,10.0,20.0,2333.333333333316,0.007505,46.42864756828781,0.7738107928047968
100000000,61,10.0,20.0,2333.333333333335,0.008149,42.759479690759605,0.7009750768976984
100000000,62,10.0,20.0,2333.333333333317,0.008314,41.91087322588405,0.6759818262239363
100000000,63,10.0,20.0,2333.333333333331,0.008333,41.8153126125045,0.6637351208334048
100000000,64,10.0,20.0,2333.333333333319,0.008497,41.00823820171826,0.6407537219018478
100000000,65,10.0,20.0,2333.33333333335,0.008955,38.91088777219431,0.5986290426491432
100000000,66,10.0,20.0,2333.333333333323,0.008191,42.54022707850079,0.6445488951287999
100000000,67,10.0,20.0,2333.333333333328,0.008679,40.148288973384034,0.5992281936325975
100000000,68,10.0,20.0,2333.333333333332,0.008808,39.56028610354224,0.5817689132873859
100000000,69,10.0,20.0,2333.333333333338,0.007901,44.10163270472092,0.6391540971698684
100000000,70,10.0,20.0,2333.333333333328,0.008266,42.1542463101863,0.6022035187169472
100000000,71,10.0,20.0,2333.333333333328,0.007607,45.80609964506376,0.645156333029067
100000000,72,10.0,20.0,2333.333333333329,0.00864,40.32951388888889,0.560132137345679
100000000,73,10.0,20.0,2333.333333333343,0.008497,41.00823820171826,0.5617566876947706
100000000,74,10.0,20.0,2333.333333333327,0.009117,38.21948009213557,0.5164794607045348
100000000,75,10.0,20.0,2333.333333333328,0.008581,40.60680573359748,0.5414240764479664
100000000,76,10.0,20.0,2333.333333333318,0.008508,40.95521861777151,0.5388844554969935
100000000,77,10.0,20.0,2333.33333333332,0.009022,38.62192418532476,0.5015834309782436
100000000,78,10.0,20.0,2333.333333333338,0.008735,39.89089868345736,0.511421777993043
100000000,79,10.0,20.0,2333.333333333328,0.008007,43.51779692768827,0.5508581889580794
100000000,80,10.0,20.0,2333.333333333327,0.009209,37.837658812031705,0.47297073515039634
100000000,81,10.0,20.0,2333.333333333323,0.008252,42.225763451284536,0.5213057216207967
100000000,82,10.0,20.0,2333.333333333349,0.008542,40.792203231093424,0.4974658930621149
100000000,83,10.0,20.0,2333.333333333321,0.008478,41.10014154281671,0.4951824282267073
100000000,84,10.0,20.0,2333.333333333333,0.008044,43.31762804574838,0.5156860481636711
100000000,85,10.0,20.0,2333.333333333338,0.008393,41.51638269986894,0.488428031763164
100000000,86,10.0,20.0,2333.333333333315,0.008196,42.51427525622255,0.4943520378630529
100000000,87,10.0,20.0,2333.333333333321,0.00773,45.07723156532988,0.5181290984520676
100000000,88,10.0,20.0,2333.333333333335,0.009023,38.617643799179874,0.43883686135431677
100000000,89,10.0,20.0,2333.333333333321,0.00857,40.65892648774796,0.4568418706488535
100000000,90,10.0,20.0,2333.333333333328,0.008439,41.29008176324209,0.45877868625824547
100000000,91,10.0,20.0,2333.333333333328,0.008385,41.55599284436494,0.45665926202598833
100000000,92,10.0,20.0,2333.333333333323,0.008127,42.875230712440015,0.46603511643956536
100000000,93,10.0,20.0,2333.333333333326,0.008381,41.575826273714355,0.4470518954162834
100000000,94,10.0,20.0,2333.333333333336,0.00838,41.580787589498804,0.4423488041436043
100000000,95,10.0,20.0,2333.333333333338,0.008494,41.02272192135625,0.43181812548796056
100000000,96,10.0,20.0,2333.333333333335,0.008569,40.66367137355584,0.4235799101412067
100000000,97,10.0,20.0,2333.333333333339,0.007804,44.649794976934906,0.4603071647106691
