n,p,total_s,read_s,compute_s,write_s
5000,8,0.096196185,0.084826304,0.010346116,0.000252364
5000,16,0.097850023,0.091082854,0.005197999,0.00028202
5000,24,0.092314338,0.087757504,0.003463089,0.000389993
5000,32,0.0955505,0.091217777,0.002606399,0.000285367
5000,40,0.09956695,0.096488705,0.00208583,0.000293431
5000,48,0.099932919,0.096627195,0.001798611,0.000264407
5000,56,0.116298808,0.112896163,0.001866458,0.000288262
5000,64,0.119505936,0.116554369,0.001875686,0.000252194
5000,72,0.120775012,0.117761828,0.001390924,0.000319821
5000,80,0.12317383,0.120250225,0.001280707,0.000413667
5000,88,0.126256303,0.122707133,0.001407666,0.000294644
5000,96,0.128110409,0.124639084,0.00104265,0.000302438
5000,104,0.131928084,0.128530298,0.001114644,0.000343256
5000,112,0.133349074,0.129711106,0.000918236,0.000300996
5000,120,0.148273965,0.132160509,0.001365236,0.000373312
5000,128,0.148794614,0.133559388,0.0010748,0.00032991
10000,8,0.360147968,0.318118122,0.041547078,0.000376778
10000,16,0.346084696,0.324504565,0.020852012,0.000420961
10000,24,0.320732345,0.305373608,0.013819634,0.000377861
10000,32,0.319167594,0.30717833,0.010388616,0.000399801
10000,40,0.319419629,0.309375519,0.008342419,0.000403999
10000,48,0.322843203,0.314209626,0.007347269,0.000381637
10000,56,0.328127204,0.320126156,0.006076901,0.000391205
10000,64,0.34314977,0.336287883,0.005863942,0.000413177
10000,72,0.340090098,0.333683757,0.00484675,0.000451649
10000,80,0.3597551,0.353620168,0.005154348,0.000424999
10000,88,0.354270681,0.348172049,0.004609935,0.000919628
10000,96,0.350411599,0.344639279,0.004377638,0.000416082
10000,104,0.382800854,0.377019177,0.00375674,0.000432472
10000,112,0.379274637,0.372851084,0.004141845,0.000472828
10000,120,0.380713482,0.374829763,0.004014645,0.000466957
10000,128,0.374441152,0.369084434,0.003867459,0.000551467
15000,8,0.806392166,0.710934911,0.093743103,0.000396996
15000,16,0.758997777,0.710622284,0.046997733,0.000461808
15000,24,0.713422757,0.680717557,0.031329144,0.000557708
15000,32,0.692634355,0.667537133,0.023589758,0.000488077
15000,40,0.689859249,0.669429241,0.019284136,0.000454645
15000,48,0.698597223,0.680821903,0.016255523,0.000493968
15000,56,0.695630177,0.679309692,0.013579784,0.000453432
15000,64,0.705480912,0.691397973,0.012005444,0.000475574
15000,72,0.720688294,0.707313246,0.012126953,0.000474922
15000,80,0.727081421,0.714426045,0.010896851,0.000492526
15000,88,0.73416243,0.722121639,0.010340896,0.000478589
15000,96,0.74974607,0.738088038,0.009380271,0.000548451
15000,104,0.741890434,0.730192859,0.009776756,0.000493197
15000,112,0.780840202,0.746472507,0.009503813,0.000487476
15000,120,0.750285764,0.739700829,0.009000707,0.00056986
15000,128,0.791985363,0.767473964,0.009173635,0.000531318
20000,8,1.398450177,1.230950744,0.16625335,0.000518565
20000,16,1.32287924,1.238721412,0.083271282,0.000580422
20000,24,1.216810762,1.159101184,0.05609316,0.000586863
20000,32,1.201346671,1.158300479,0.042235709,0.000625105
20000,40,1.219375985,1.1837277,0.033856207,0.000964203
20000,48,1.195687783,1.166414432,0.027893798,0.000540547
20000,56,1.194245903,1.168626401,0.023860175,0.000598495
20000,64,1.219340799,1.195833798,0.02207006,0.000673116
20000,72,1.209917404,1.188704926,0.019644369,0.000607031
20000,80,1.211154259,1.191390886,0.018097732,0.000599177
20000,88,1.231240593,1.213067347,0.017226026,0.000596672
20000,96,1.265595302,1.24683949,0.016630597,0.000626478
20000,104,1.277695772,1.260620349,0.01608971,0.000625285
20000,112,1.281737711,1.247073259,0.015509069,0.000636697
20000,120,1.309968516,1.293668341,0.014779606,0.000640965
20000,128,1.304469949,1.287898523,0.014165853,0.000711879
25000,8,2.21338405,1.953112674,0.259216061,0.000599147
25000,16,2.11580899,1.984216912,0.129909796,0.000665852
25000,24,1.925449953,1.83662406,0.086993058,0.000650513
25000,32,1.878389243,1.810399063,0.065424826,0.001109396
25000,40,1.835052074,1.780440086,0.052136393,0.000631106
25000,48,1.828163502,1.78205339,0.043580957,0.000617261
25000,56,1.835820678,1.795917676,0.037526584,0.000645043
25000,64,1.846370605,1.809708586,0.033406308,0.000698793
25000,72,1.869347083,1.837957095,0.02989162,0.000653819
25000,80,1.864545394,1.836322322,0.027286032,0.000669108
25000,88,1.867445975,1.840462576,0.025581072,0.000668968
25000,96,1.89797997,1.87231462,0.024615487,0.000683987
25000,104,1.914688358,1.889776324,0.023685938,0.000676242
25000,112,1.903971697,1.879697523,0.022275897,0.000778694
25000,120,1.938841185,1.914433378,0.02157035,0.001242947
25000,128,1.9668972,1.927165699,0.023953121,0.001271942
30000,8,3.206225631,2.830979719,0.373267853,0.000633922
30000,16,2.95790887,2.76845958,0.18719424,0.000895404
30000,24,2.827134399,2.698970736,0.124922557,0.002624215
30000,32,2.657589386,2.562122044,0.093490324,0.000715836
30000,40,2.646831878,2.569844796,0.07543846,0.000724683
30000,48,2.636390234,2.570914868,0.063135015,0.000668196
30000,56,2.649469047,2.593310469,0.054450366,0.000716858
30000,64,2.657817745,2.607504359,0.048022739,0.00071256
30000,72,2.662321885,2.617217262,0.043026605,0.000737336
30000,80,2.679024851,2.637872645,0.039837954,0.000736845
30000,88,2.675001087,2.636196866,0.036854686,0.00076055
30000,96,2.713362906,2.676116102,0.035439546,0.001127649
30000,104,2.724670614,2.688565116,0.033758094,0.001183345
30000,112,2.759901417,2.714294908,0.031700265,0.001268896
30000,120,2.789934758,2.719105973,0.056625695,0.001328618
30000,128,2.792274936,2.736687073,0.02934104,0.000888781
35000,8,6.251586102,5.384610927,0.865199257,0.000665872
35000,16,4.400886236,4.02578089,0.373017691,0.001560894
35000,24,4.072849387,3.758098916,0.312712449,0.000950928
35000,32,3.924740566,3.683164833,0.240126671,0.000778353
35000,40,3.925138024,3.725257055,0.198258751,0.00081939
35000,48,3.923845594,3.759526139,0.16340213,0.000763927
35000,56,3.92385363,3.811596484,0.110396487,0.000754979
35000,64,3.867725197,3.750874436,0.115118195,0.00080867
35000,72,3.909250756,3.8038867,0.102849569,0.00079822
35000,80,3.939457565,3.830774129,0.107325574,0.00076628
35000,88,3.996582191,3.881884998,0.113597355,0.000958682
35000,96,4.041299089,3.942004995,0.097624366,0.000810864
35000,104,4.076201186,3.985752718,0.089090314,0.000867821
35000,112,4.139545086,4.048612598,0.08939088,0.00086169
35000,120,4.215760805,4.105634582,0.097278299,0.000859506
35000,128,4.25755468,4.146698725,0.085028498,0.000934336
40000,8,13.588925093,12.223631749,1.364316267,0.000732246
40000,16,7.482799131,7.030441695,0.450315767,0.000948994
40000,24,5.812548858,5.404646385,0.40612975,0.000862171
40000,32,5.671011465,5.398964242,0.269848329,0.00084546
40000,40,5.655639253,5.425813253,0.228336721,0.000848957
40000,48,5.705059314,5.501898803,0.201484181,0.00080838
40000,56,5.711130859,5.531568079,0.177926032,0.00084044
40000,64,5.636606628,5.482736759,0.152267385,0.000850759
40000,72,5.679161195,5.549796384,0.127302813,0.000884112
40000,80,5.748123318,5.62183397,0.124371442,0.000900133
40000,88,5.779423263,5.656103579,0.122055767,0.000888321
40000,96,5.814859121,5.703439218,0.110036132,0.0008831
40000,104,5.886034186,5.747261293,0.113713927,0.000927143
40000,112,5.899304939,5.785745391,0.112437447,0.000964263
40000,120,6.008301846,5.892616934,0.114576589,0.000970304
40000,128,6.034175261,5.916999367,0.103026567,0.000942352
