n,trials,total_mean_s,total_std_s,read_mean_s,compute_mean_s,write_mean_s
5000,17,0.11848898647058824,0.0014637461867876248,0.036174299352941176,0.08206153058823529,0.0002249765294117647
6000,12,0.16909395025,0.00216932744234955,0.050513242666666666,0.11832974208333333,0.00021987083333333332
7000,9,0.228613415,0.003550532910759894,0.06758210011111111,0.16076245022222221,0.00023465422222222222
8000,7,0.2973446805714286,0.004870511001896209,0.08710866771428571,0.209967275,0.0002316927142857143
9000,6,0.3743294585,0.007188600870384489,0.109414373,0.2646485828333333,0.000236887
10000,5,0.462449187,0.008598523547007113,0.13501814040000001,0.3271623996,0.000236198
11000,5,0.5593562246,0.010609184678246071,0.162834273,0.3962492486,0.000237969
12000,5,0.6662005856,0.011876496000343455,0.194674144,0.4712469872,0.00024112399999999998
13000,5,0.7793509832,0.014774239030649929,0.227345012,0.5517245756,0.0002402476
14000,5,0.917645143,0.016681261509745558,0.2753158646,0.641787487,0.0004976816
15000,5,1.041784272,0.022405956719418325,0.3059470642,0.7355339732,0.00025599119999999997
16000,5,1.1834041238,0.022506062900659464,0.3456236148,0.8374019856,0.00032759579999999997
17000,5,1.332612517,0.028941573016126376,0.3879743766,0.9442830506,0.0003012822
18000,5,1.4939475154,0.029478509447203084,0.4346427746,1.0582581896,0.000989995
19000,5,1.6702210162,0.03385049758549146,0.4885922852,1.1812700934,0.000296439
20000,5,1.8457811784,0.03840710874520545,0.5349933388,1.3096100024000001,0.0011144086
21000,5,2.0594539386,0.04033931377835858,0.61495206,1.4441099264,0.0003206992
22000,5,2.2313791268,0.04465114388873079,0.6460094998,1.5849950532,0.0003071276
23000,5,2.442457654,0.048372576610404984,0.7081819272,1.7339029747999999,0.0003024166
24000,5,3.2939834058,0.7693710260043498,1.4092218712,1.884348891,0.0003350722
25000,5,2.9818878991999997,0.05952666027197373,0.9352330786,2.0462271462,0.0003479692
26000,5,3.4896351776,0.38481669857598894,1.2774126248,2.2117591858,0.000379826
27000,5,3.57381283,0.07420853210877637,1.186755489,2.38661346,0.0003571994
28000,5,3.8882337002,0.07670906047369856,1.3196049804,2.5681814348,0.0003580308
29000,5,4.4492010892,0.4408816682058048,1.6720109418,2.7767231166,0.0003725156
30000,5,5.7532332323999995,2.010019076766631,2.802530316,2.9502570070000003,0.0003474212
31000,5,4.7739519114,0.2856429587455361,1.6175298328,3.155973055,0.0003553838
32000,5,4.9528419822,0.09712752397442127,1.5872769682,3.3651027296,0.0003630608
33000,5,5.3255906096,0.12238675028378806,1.7123123918,3.6126633072,0.0005090305999999999
34000,5,6.384507381000001,1.6755660555098468,2.5781346282,3.8058734108,0.0003908682
35000,5,8.2040468542,2.8109639648421334,4.1399692284,4.0635784336,0.00038680720000000004
36000,5,6.5398412686,0.12273948772946665,2.2686090406,4.2704659178,0.0006576982
37000,5,6.924244095,0.1363096459256043,2.4138130805999998,4.5097173458,0.0005923892
38000,5,8.0743693778,1.5969903997002186,3.1714616776,4.9023795871999996,0.0004088202
39000,5,10.171521652800001,3.8640120745648416,4.9872939156000005,5.1836740084,0.0004181136
40000,5,8.1782217716,0.14859320944560095,2.9120671214000002,5.2651929184,0.000839676
