n,p,total_s,read_s,compute_s,write_s
1000,1,0.016831782,0.013607022,0.003156426,5.7559e-05
1000,2,0.011927507,0.010620138,0.001197884,8.634e-05
1000,3,0.016483179,0.014760004,0.001465741,0.00023463
1000,4,0.009061092,0.00858259,0.000380102,7.316e-05
1000,5,0.009233884,0.008570198,0.000560118,7.138e-05
1000,6,0.010755787,0.010223671,0.000392308,9.2394e-05
1000,7,0.008718702,0.008395292,0.000229475,7.764e-05
1000,8,0.009691085,0.009184257,0.000349112,0.00010499
1000,9,0.013125616,0.0122906,0.00061613,0.000142317
1000,10,0.010857064,0.010416912,0.000279295,9.9805e-05
1000,11,0.007075977,0.006709872,0.000254346,7.7618e-05
1000,12,0.010043365,0.009695241,0.000234726,7.2736e-05
1000,13,0.010358492,0.009976044,0.000215211,0.000103549
1000,14,0.005894519,0.005429178,0.000201196,0.000200379
1000,15,0.020286058,0.018814416,0.001026129,0.000275479
1000,16,0.010177283,0.009856145,0.000176313,7.6735e-05
1000,17,0.016770142,0.015957857,0.000472523,0.000231282
1000,18,0.010515429,0.010205688,0.000156618,0.000109725
1000,19,0.023769492,0.022569475,0.00071839,0.000305971
1000,20,0.019370516,0.018210347,0.000618823,0.000328307
2000,1,0.036405656,0.030351398,0.005991792,5.5616e-05
2000,2,0.031878458,0.028800702,0.002964397,9.8856e-05
2000,3,0.027247443,0.0248977,0.002230461,0.000105273
2000,4,0.027037362,0.025241165,0.001656733,9.9247e-05
2000,5,0.024044562,0.022573242,0.001340541,9.1638e-05
2000,6,0.027695318,0.02650201,0.001037509,9.301e-05
2000,7,0.022542439,0.020804536,0.001603859,0.000108703
2000,8,0.022297933,0.020764206,0.001405773,9.7917e-05
2000,9,0.027634288,0.026157191,0.00126334,0.000142431
2000,10,0.024473375,0.023211185,0.001122003,0.000103199
2000,11,0.028733679,0.027442757,0.001053522,0.000140719
2000,12,0.030059765,0.0288664,0.000971086,0.000142802
2000,13,0.030801457,0.029707043,0.000891819,0.000137971
2000,14,0.025870758,0.024911925,0.000812858,0.000104094
2000,15,0.029230799,0.028317423,0.000766893,0.000113272
2000,16,0.026082361,0.02521476,0.000714045,0.000108208
2000,17,0.028496809,0.027605596,0.000672116,0.00013987
2000,18,0.026240637,0.025426737,0.000652151,0.000101646
2000,19,0.032457729,0.031696871,0.000609707,0.00010397
2000,20,0.035482693,0.034678746,0.000641686,0.000103801
3000,1,0.068920098,0.055381499,0.013453788,7.2164e-05
3000,2,0.060523774,0.053613312,0.006783343,0.000105035
3000,3,0.055823983,0.050652757,0.005029568,0.000112003
3000,4,0.058119152,0.054133159,0.003848778,0.000119424
3000,5,0.0548984,0.051740126,0.003008018,0.000123247
3000,6,0.053291856,0.048929533,0.00421787,0.000118921
3000,7,0.049304179,0.046992208,0.002182512,0.000107522
3000,8,0.051825552,0.049911884,0.00168599,0.000114754
3000,9,0.05101599,0.048053246,0.002811526,0.000126797
3000,10,0.054216331,0.051507321,0.002551218,0.000116387
3000,11,0.071411648,0.068831243,0.002328268,0.000161152
