n,trial_index,total_s,read_s,compute_s,write_s
5000,1,0.108993461,0.060873136,0.04170495,6.5744e-05
5000,2,0.097237702,0.060072774,0.037055748,8.5265e-05
5000,3,0.094243564,0.056932617,0.037193954,9.0141e-05
5000,4,0.100542773,0.059125169,0.041314064,8.0107e-05
5000,5,0.099587233,0.058055164,0.04142429,8.3074e-05
5000,6,0.09430859,0.056565439,0.03764019,8.2004e-05
5000,7,0.093261544,0.055605435,0.037553025,8.0199e-05
5000,8,0.099516514,0.058066873,0.041346039,7.7888e-05
5000,9,0.097829191,0.060076011,0.037643677,8.84e-05
5000,10,0.100899882,0.062769835,0.038026675,8.1817e-05
5000,11,0.096801686,0.059027511,0.037674961,7.9676e-05
5000,12,0.097572448,0.059237596,0.038227612,8.4112e-05
5000,13,0.095348672,0.057584959,0.037661945,7.9488e-05
5000,14,0.096512925,0.058911607,0.037481761,9.8478e-05
5000,15,0.098900924,0.060659995,0.038134885,8.4545e-05
5000,16,0.098826281,0.060168303,0.038553752,8.2681e-05
5000,17,0.093431917,0.056148669,0.037176047,8.537e-05
5000,18,0.102145699,0.06116227,0.040875408,8.1064e-05
5000,19,0.098570309,0.057575046,0.040889633,8.2427e-05
5000,20,0.097979949,0.05702599,0.040857477,7.4446e-05
5000,21,0.101321785,0.063539315,0.037621431,0.000139093
10000,1,0.381793641,0.231715314,0.149982543,6.4076e-05
10000,2,0.374250994,0.224354988,0.149761601,9.8225e-05
10000,3,0.377139836,0.226990812,0.150020595,0.000100982
10000,4,0.395768331,0.235366187,0.16021301,0.000145615
10000,5,0.374723386,0.224186142,0.1504049,0.000100091
10000,6,0.385098763,0.234721062,0.150254602,9.6198e-05
15000,1,0.848427735,0.511020441,0.337293153,7.36e-05
15000,2,0.853034013,0.515646359,0.337240269,0.000103355
15000,3,0.846752602,0.511293884,0.335305638,0.000107076
15000,4,0.861675978,0.519549482,0.341979346,0.000108808
15000,5,0.859972194,0.521520881,0.338301957,0.000109526
20000,1,1.444058097,0.847107,0.596812145,9.1216e-05
20000,2,1.520610541,0.858486105,0.661887535,0.000135171
20000,3,1.485537446,0.875525202,0.609837934,0.000114778
20000,4,1.562911745,0.907971799,0.654771465,0.000119042
20000,5,1.564542488,0.908810805,0.655559388,0.000110749
25000,1,2.376424645,1.427923834,0.948330301,0.000104405
25000,2,2.349474385,1.41032343,0.938963699,0.000124351
25000,3,2.368513676,1.416032829,0.952286856,0.000131617
25000,4,2.337817144,1.409368202,0.928245934,0.000136795
25000,5,2.350891558,1.415121871,0.935555803,0.000141459
30000,1,3.304229532,1.948640968,1.355409128,0.000108427
30000,2,3.315341215,1.957001628,1.358118173,0.00014405
30000,3,3.321385758,1.961830842,1.35931562,0.000153584
30000,4,3.296775396,1.949102662,1.347464653,0.000130493
30000,5,3.282110646,1.944925882,1.336967096,0.000139142
35000,1,4.551980924,2.712040551,1.839735508,0.000114704
35000,2,4.600436376,2.746636854,1.85355417,0.000156603
35000,3,4.600523309,2.729658107,1.870635536,0.000145873
35000,4,4.591811412,2.722322681,1.869260423,0.000144955
35000,5,4.558307368,2.726627173,1.831453221,0.000142964
40000,1,5.808315892,3.372827939,2.435228175,0.000156035
40000,2,5.767948194,3.374267769,2.393431744,0.000154002
40000,3,5.864179899,3.417553226,2.446378023,0.0001558
40000,4,5.770962958,3.375942136,2.394770337,0.000153688
40000,5,5.735293414,3.348052422,2.386970718,0.000160729
