n,trials,total_mean_s,total_std_s,read_mean_s,compute_mean_s,write_mean_s
1000,185,0.010848778945945946,0.004027834182987903,0.005759652048648649,0.004969028027027027,0.00010424676756756756
2000,96,0.020967272260416666,0.003872878426252455,0.01246785884375,0.008412888885416667,7.508290625e-05
3000,55,0.03668866545454545,0.0028792809220503385,0.022005974418181817,0.014597517345454546,7.465532727272728e-05
4000,33,0.061984787424242425,0.003221318553258372,0.03658678057575757,0.025310110545454546,7.311478787878788e-05
5000,21,0.09684799295238096,0.0034525766125607245,0.057561387666666665,0.03918912185714286,7.449261904761905e-05
6000,15,0.1367764426,0.0040504060896266,0.0806936244,0.05597373566666667,8.351333333333333e-05
7000,11,0.18552177036363637,0.004921818890986418,0.10960043136363637,0.07581370518181818,7.939963636363636e-05
8000,9,0.23865549233333333,0.005087982043564559,0.13826561077777777,0.10027536444444445,8.189311111111111e-05
9000,7,0.305597541,0.006874948667627496,0.17954156185714287,0.12594495785714285,8.3923e-05
10000,6,0.3722434453333333,0.010082482139734218,0.21887346683333334,0.1532524975,8.67005e-05
