n,trial_index,total_s,read_s,compute_s,write_s
1000,1,0.007090041,0.003098629,0.003942204,4.2117e-05
1000,2,0.004313699,0.00192548,0.002303385,7.8439e-05
1000,3,0.007895016,0.003526121,0.004286765,6.7824e-05
1000,4,0.00887529,0.00489812,0.003893975,6.6141e-05
1000,5,0.00841539,0.00497444,0.003360402,6.6306e-05
1000,6,0.008502024,0.0068262,0.00160654,5.054e-05
1000,7,0.014844392,0.006511091,0.008037797,0.00027641
1000,8,0.007386332,0.004494615,0.00282726,5.433e-05
1000,9,0.012393115,0.00597391,0.006319109,8.466e-05
1000,10,0.004263235,0.002697408,0.001522784,3.7256e-05
1000,11,0.012648832,0.006496195,0.006016822,0.000115751
1000,12,0.013792982,0.006077628,0.007507427,0.000189504
1000,13,0.017789202,0.010246724,0.007349796,0.000171579
1000,14,0.013698182,0.00685174,0.006703484,0.000120188
1000,15,0.006163965,0.004009542,0.002088556,5.8617e-05
1000,16,0.005542628,0.003101469,0.002372462,6.2861e-05
1000,17,0.005968045,0.002989041,0.002878437,9.4792e-05
1000,18,0.004054853,0.002496798,0.001490645,6.2869e-05
1000,19,0.005857492,0.002884172,0.00287682,9.1505e-05
1000,20,0.006000699,0.003017683,0.002909487,6.7019e-05
1000,21,0.005084891,0.0023634,0.002640045,7.3335e-05
1000,22,0.007164516,0.004890651,0.00219742,6.7541e-05
1000,23,0.005770467,0.002787498,0.002892724,8.2268e-05
1000,24,0.007962885,0.005174986,0.002711767,6.9114e-05
1000,25,0.00890089,0.004907088,0.003888611,7.1894e-05
1000,26,0.003850991,0.002348755,0.001459407,3.8295e-05
1000,27,0.005830165,0.002937755,0.002810803,7.5558e-05
1000,28,0.003907787,0.002283126,0.001566899,5.3224e-05
1000,29,0.005403568,0.0030999,0.002235098,6.1798e-05
1000,30,0.008839825,0.004648863,0.004096029,8.4653e-05
1000,31,0.013748159,0.006158626,0.007413611,0.00015555
1000,32,0.011879045,0.004557037,0.007151633,0.000150363
1000,33,0.016405879,0.008842501,0.007365413,0.000176124
1000,34,0.015852506,0.010904404,0.004824215,9.1535e-05
1000,35,0.013877217,0.006249889,0.007490163,0.000115051
1000,36,0.015752576,0.008390481,0.007236659,9.8069e-05
1000,37,0.016013922,0.010114423,0.005831761,4.8954e-05
1000,38,0.011960491,0.006695222,0.005181664,7.1686e-05
1000,39,0.005372913,0.003227259,0.002083635,5.1124e-05
1000,40,0.003614289,0.002101061,0.001469564,3.9406e-05
1000,41,0.005918816,0.003040617,0.002804839,6.7534e-05
1000,42,0.005249867,0.002721272,0.002470903,5.0487e-05
1000,43,0.005787226,0.003212057,0.002504904,6.2739e-05
1000,44,0.009168771,0.004457579,0.004566151,0.000134254
1000,45,0.01390095,0.006973748,0.006782194,0.000124513
1000,46,0.015174148,0.00752461,0.007465612,0.000165729
1000,47,0.01002452,0.007142715,0.002801093,7.2562e-05
1000,48,0.00639596,0.002825492,0.003451898,0.000110086
1000,49,0.011907533,0.005500947,0.006268582,0.000118637
1000,50,0.012809593,0.005282118,0.007349075,0.000159739
1000,51,0.014145341,0.007199259,0.006805105,0.000120089
1000,52,0.009039892,0.00688755,0.002076661,5.5049e-05
1000,53,0.007337856,0.003190394,0.004010816,0.000127518
1000,54,0.017677201,0.009936447,0.007606237,0.000113144
1000,55,0.005720773,0.002617286,0.003002847,9.2621e-05
1000,56,0.015983779,0.00848258,0.007307504,0.000172664
1000,57,0.014987682,0.007326328,0.007475117,0.000162607
1000,58,0.018076354,0.010827746,0.007074019,0.000136762
1000,59,0.015655386,0.010207657,0.005340088,9.0356e-05
1000,60,0.007381197,0.003148722,0.004147603,7.6369e-05
1000,61,0.011740748,0.005603829,0.005924101,0.000200927
1000,62,0.012334217,0.006603951,0.005552702,0.000164629
1000,63,0.013880759,0.007666436,0.006042949,0.000144612
1000,64,0.013726277,0.006796801,0.006785622,0.000122885
1000,65,0.011098793,0.005205865,0.005769061,0.000107381
1000,66,0.009864263,0.004421263,0.005336513,9.133e-05
1000,67,0.012836955,0.006198213,0.006474717,0.000148706
1000,68,0.008113381,0.004912065,0.003119448,7.0722e-05
1000,69,0.006242092,0.003228184,0.0029158,9.1803e-05
1000,70,0.003340553,0.001748523,0.00154391,4.3619e-05
1000,71,0.003971244,0.002264595,0.001649294,5.2568e-05
1000,72,0.005535979,0.002981134,0.002486681,6.2082e-05
1000,73,0.003682625,0.001908447,0.00172325,4.5711e-05
1000,74,0.007743391,0.003328873,0.004364755,4.1774e-05
1000,75,0.005130388,0.003225496,0.00185349,4.5054e-05
1000,76,0.003807778,0.002189538,0.001569475,4.4507e-05
1000,77,0.004414655,0.002823517,0.001539441,4.6852e-05
1000,78,0.004487233,0.002079341,0.002343947,5.8537e-05
1000,79,0.006244725,0.0026723,0.003502349,6.0723e-05
1000,80,0.008592847,0.004228506,0.004269128,8.5328e-05
1000,81,0.013579672,0.006003111,0.007395388,0.000163866
1000,82,0.015830033,0.008261392,0.007434843,0.000114585
1000,83,0.015618525,0.008129686,0.007297966,0.000167506
1000,84,0.015773123,0.008136253,0.007461376,0.000155167
1000,85,0.01753185,0.009995139,0.007380784,0.000133862
1000,86,0.016478002,0.011125915,0.005169138,0.000164564
1000,87,0.011333023,0.008154021,0.003081588,8.7365e-05
1000,88,0.008668631,0.005688995,0.002905465,6.2933e-05
1000,89,0.004633227,0.003095629,0.001488992,4.3428e-05
1000,90,0.005360743,0.002704081,0.002583431,6.7167e-05
1000,91,0.010452259,0.004228588,0.006070903,0.000134277
1000,92,0.014437926,0.006863396,0.007415007,0.000137885
1000,93,0.017688619,0.011161067,0.006343394,0.000167067
1000,94,0.014616444,0.009389106,0.005123525,8.8373e-05
1000,95,0.005759752,0.003047126,0.00261781,8.6943e-05
1000,96,0.011067406,0.004313628,0.00657069,0.000170844
1000,97,0.009184743,0.007217203,0.001917076,4.1482e-05
1000,98,0.012143858,0.005319662,0.006626969,0.00018115
1000,99,0.00877774,0.007068792,0.001657465,4.4979e-05
1000,100,0.010030176,0.002655902,0.007215356,0.000143567
1000,101,0.010536283,0.007890297,0.002577603,4.65e-05
1000,102,0.015502825,0.007939496,0.007374693,0.000169427
1000,103,0.014280296,0.007280944,0.0068257,0.000131202
1000,104,0.013554898,0.007109564,0.006358856,7.14e-05
1000,105,0.014111648,0.007522838,0.006442422,0.000127129
1000,106,0.013583919,0.006008235,0.007388089,0.000167129
1000,107,0.016364173,0.008803075,0.007375248,0.000163808
1000,108,0.014787159,0.007124243,0.007483084,0.00016217
1000,109,0.014790751,0.007250556,0.00735487,0.000164062
1000,110,0.016116688,0.008521424,0.007440159,0.000132803
1000,111,0.017476367,0.009868666,0.00741721,0.00017143
1000,112,0.010123145,0.007565813,0.002490931,3.911e-05
1000,113,0.010647419,0.005032414,0.005549327,4.6641e-05
1000,114,0.010781853,0.00332402,0.007310701,0.000127787
1000,115,0.015893598,0.008479677,0.007237055,0.000156299
1000,116,0.008203893,0.006655557,0.001498247,4.3188e-05
1000,117,0.0095141,0.004138675,0.005251178,4.0067e-05
1000,118,0.014741134,0.007075683,0.00750871,0.000137735
1000,119,0.016652299,0.011254498,0.005315513,6.2701e-05
1000,120,0.008659602,0.005164872,0.003405124,8.018e-05
1000,121,0.003719843,0.001971416,0.001697875,4.6124e-05
1000,122,0.005410213,0.002361669,0.002962282,8.0139e-05
1000,123,0.013218906,0.005934503,0.007119625,0.000144605
1000,124,0.014838416,0.007413293,0.007228608,0.000174147
1000,125,0.016713857,0.010963309,0.005557152,0.000166668
1000,126,0.012510508,0.007098362,0.005266557,0.000129432
1000,127,0.01455494,0.007062161,0.007323688,0.000140389
1000,128,0.013607086,0.006894951,0.006581536,0.000109601
1000,129,0.017756669,0.009344595,0.008310617,7.1312e-05
1000,130,0.007626927,0.003238248,0.004328377,4.9292e-05
1000,131,0.008176845,0.002991179,0.005124471,4.3041e-05
1000,132,0.01046996,0.005211215,0.005093989,0.000152557
1000,133,0.014407383,0.006995574,0.007244726,0.000139187
1000,134,0.014264334,0.006954995,0.007151112,0.000136141
1000,135,0.012594799,0.008043777,0.004487337,4.3466e-05
1000,136,0.010617883,0.004361889,0.006142088,9.4964e-05
1000,137,0.013856247,0.006363521,0.007311843,0.00016234
1000,138,0.0125563,0.006771619,0.005667313,9.4887e-05
1000,139,0.007900799,0.004300292,0.003528523,6.1878e-05
1000,140,0.007942212,0.004486611,0.003383622,6.476e-05
1000,141,0.006678361,0.0027828,0.003769027,0.00011574
1000,142,0.007175958,0.00404211,0.003046534,6.4726e-05
1000,143,0.008937406,0.004391132,0.00446387,7.1193e-05
1000,144,0.009213486,0.005777705,0.003351863,6.8278e-05
1000,145,0.008681216,0.004677687,0.003916444,7.3263e-05
1000,146,0.011233505,0.005288603,0.005787196,0.000146648
1000,147,0.013679831,0.007520681,0.006091584,4.6074e-05
1000,148,0.013334428,0.005793665,0.007386517,0.000135251
1000,149,0.014274608,0.006734646,0.007375609,0.000149486
1000,150,0.009575551,0.007271095,0.002236984,4.5562e-05
1000,151,0.009706615,0.005817021,0.00382689,4.3412e-05
1000,152,0.013607046,0.00622951,0.007165671,0.000194431
1000,153,0.014765371,0.007236057,0.007338631,0.000167727
1000,154,0.013075413,0.006376604,0.0065616,0.000116892
1000,155,0.017577718,0.009857232,0.007529933,0.000160356
1000,156,0.014204887,0.006767709,0.00724952,0.00016788
1000,157,0.012759219,0.007191174,0.005449046,9.6387e-05
1000,158,0.009609552,0.003671806,0.005809423,0.000119611
1000,159,0.009887294,0.005911639,0.003889107,7.148e-05
1000,160,0.010292896,0.004833459,0.005274377,0.000174392
1000,161,0.014381395,0.007024999,0.007170879,0.000167013
1000,162,0.015054879,0.007560896,0.007330407,0.000142748
1000,163,0.014655901,0.007321001,0.00716523,0.00014615
1000,164,0.018015292,0.010333239,0.007512791,0.000150483
1000,165,0.01002931,0.007445019,0.002516186,4.5871e-05
1000,166,0.013402016,0.006230089,0.007012874,0.000147141
1000,167,0.013975389,0.007419302,0.006424357,0.00011295
1000,168,0.008766523,0.0045508,0.004132571,7.0786e-05
1000,169,0.010490464,0.004490369,0.005806453,0.000182395
1000,170,0.016389963,0.009363168,0.006882118,0.000122221
1000,171,0.014392719,0.00856318,0.005715704,9.3079e-05
1000,172,0.006579233,0.002996917,0.003488262,9.0162e-05
1000,173,0.010063925,0.005057399,0.004835093,0.000162778
1000,174,0.015751621,0.008284355,0.007281692,0.000157306
1000,175,0.012748408,0.006838646,0.005784257,0.000104884
1000,176,0.011127939,0.004749256,0.006256793,0.000104352
1000,177,0.010557301,0.00614657,0.004320301,7.5498e-05
