iteration,label,ranks,rank,overall_avg,overall_peak,job_avg,job_peak_rank,section_avg,section_peak,section_job_avg,section_job_peak_rank
0,mpi_matvec,1,0,1.061768142,525.210087618,1.061768142,525.210087618,1.061920205,539.519841142,1.061920205,539.519841142
0,mpi_matvec,1,0,1.054256349,464.144798887,1.054256349,464.144798887,1.054387615,499.002007799,1.054387615,499.002007799
0,mpi_matvec,1,0,1.040318508,486.854919057,1.040318508,486.854919057,1.040499806,539.519841142,1.040499806,539.519841142
0,mpi_matvec,1,0,1.027294554,475.850595432,1.027294554,475.850595432,1.027367950,487.448204172,1.027367950,487.448204172
0,mpi_matvec,1,0,0.974368656,475.963838072,0.974368656,475.963838072,0.974538153,526.038921697,0.974538153,526.038921697
0,mpi_matvec,1,0,1.003208331,487.567034753,1.003208331,487.567034753,1.003328100,526.038921697,1.003328100,526.038921697
0,mpi_matvec,1,0,1.071707846,407.913523165,1.071707846,407.913523165,1.071908708,444.148332977,1.071908708,444.148332977
0,mpi_matvec,1,0,1.050739764,115.540150365,1.050739764,115.540150365,1.050870935,116.890708439,1.050870935,116.890708439
0,mpi_matvec,1,0,1.019741517,454.338930789,1.019741517,454.338930789,1.019905132,487.567034753,1.019905132,487.567034753
0,mpi_matvec,1,0,1.073873418,499.625257880,1.073873418,499.625257880,1.074008180,512.426324768,1.074008180,512.426324768
0,mpi_matvec,1,0,1.033257921,464.900048720,1.033257921,464.900048720,1.033439123,512.557647395,1.033439123,512.557647395
0,mpi_matvec,1,0,1.002639035,487.567034753,1.002639035,487.567034753,1.002760282,526.038921697,1.002760282,526.038921697
0,mpi_matvec,1,0,0.968825733,425.260466729,0.968825733,425.260466729,0.969053647,444.148355404,0.969053647,444.148355404
0,mpi_matvec,1,0,1.045448807,464.792008949,1.045448807,464.792008949,1.045521925,475.963812318,1.045521925,475.963812318
0,mpi_matvec,1,0,1.078903826,475.963838072,1.078903826,475.963838072,1.079040205,512.557677262,1.079040205,512.557677262
0,mpi_matvec,1,0,0.900677307,416.406400690,0.900677307,416.406400690,0.900773562,444.247010150,0.900773562,444.247010150
0,mpi_matvec,1,0,0.910264092,512.557647395,0.910264092,512.557647395,0.910363100,526.038921697,0.910363100,526.038921697
0,mpi_matvec,1,0,1.030156321,487.448204172,1.030156321,487.448204172,1.030289357,525.900601067,1.030289357,525.900601067
0,mpi_matvec,1,0,1.064674178,475.963838072,1.064674178,475.963838072,1.064807949,499.750128840,1.064807949,499.750128840
0,mpi_matvec,1,0,1.038688056,475.963812318,1.038688056,475.963812318,1.038869815,526.038953156,1.038869815,526.038953156
0,mpi_matvec,1,0,1.033839342,416.406400690,1.033839342,416.406400690,1.034023107,454.235766847,1.034023107,454.235766847
