iteration,label,ranks,rank,overall_avg,overall_peak,job_avg,job_peak_rank,section_avg,section_peak,section_job_avg,section_job_peak_rank
0,seq_matvec,1,0,0.401753257,0.401753257,0.401753257,0.401753257,1.086656379,399.457523810,1.086656379,399.457523810
0,seq_matvec,1,0,0.283485114,0.283485114,0.283485114,0.283485114,1.027421897,289.262344828,1.027421897,289.262344828
0,seq_matvec,1,0,0.381977506,0.381977506,0.381977506,0.381977506,1.080469432,493.447529412,1.080469432,493.447529412
0,seq_matvec,1,0,0.405442629,0.405442629,0.405442629,0.405442629,1.076436049,493.447529412,1.076436049,493.447529412
0,seq_matvec,1,0,0.296742297,0.296742297,0.296742297,0.296742297,1.073289428,399.457523810,1.073289428,399.457523810
0,seq_matvec,1,0,0.325265917,0.325265917,0.325265917,0.325265917,1.024159650,493.447529412,1.024159650,493.447529412
0,seq_matvec,1,0,0.363442139,0.363442139,0.363442139,0.363442139,1.063092394,493.447529412,1.063092394,493.447529412
0,seq_matvec,1,0,0.417447524,0.417447524,0.417447524,0.417447524,1.075707908,493.447529412,1.075707908,493.447529412
0,seq_matvec,1,0,0.439079194,0.439079194,0.439079194,0.439079194,1.144408948,493.447529412,1.144408948,493.447529412
0,seq_matvec,1,0,0.407748408,0.407748408,0.407748408,0.407748408,1.100184269,493.447529412,1.100184269,493.447529412
0,seq_matvec,1,0,0.414497875,0.414497875,0.414497875,0.414497875,1.094046344,645.277538462,1.094046344,645.277538462
0,seq_matvec,1,0,0.414252247,0.414252247,0.414252247,0.414252247,1.087528131,493.447529412,1.087528131,493.447529412
0,seq_matvec,1,0,0.410682855,0.410682855,0.410682855,0.410682855,1.071797155,493.447529412,1.071797155,493.447529412
0,seq_matvec,1,0,0.421157144,0.421157144,0.421157144,0.421157144,1.084941616,493.447529412,1.084941616,493.447529412
0,seq_matvec,1,0,0.412216609,0.412216609,0.412216609,0.412216609,1.048942605,493.447529412,1.048942605,493.447529412
0,seq_matvec,1,0,0.375446807,0.375446807,0.375446807,0.375446807,1.081611107,493.447529412,1.081611107,493.447529412
0,seq_matvec,1,0,0.420713576,0.420713576,0.420713576,0.420713576,1.088049624,493.447529412,1.088049624,493.447529412
0,seq_matvec,1,0,0.418927687,0.418927687,0.418927687,0.418927687,1.087311894,289.262344828,1.087311894,289.262344828
0,seq_matvec,1,0,0.422748979,0.422748979,0.422748979,0.422748979,1.067944645,493.447529412,1.067944645,493.447529412
0,seq_matvec,1,0,0.433452591,0.433452591,0.433452591,0.433452591,1.111416459,493.447529412,1.111416459,493.447529412
0,seq_matvec,1,0,0.414764302,0.414764302,0.414764302,0.414764302,1.149180426,493.447529412,1.149180426,493.447529412
0,seq_matvec,1,0,0.428077567,0.428077567,0.428077567,0.428077567,1.104354168,493.447529412,1.104354168,493.447529412
0,seq_matvec,1,0,0.435455150,0.435455150,0.435455150,0.435455150,1.142950883,493.447529412,1.142950883,493.447529412
0,seq_matvec,1,0,0.431490561,0.431490561,0.431490561,0.431490561,1.140546226,493.447529412,1.140546226,493.447529412
0,seq_matvec,1,0,0.426532160,0.426532160,0.426532160,0.426532160,1.114718668,493.447529412,1.114718668,493.447529412
0,seq_matvec,1,0,0.424009705,0.424009705,0.424009705,0.424009705,1.117072066,645.277538462,1.117072066,645.277538462
0,seq_matvec,1,0,0.431047120,0.431047120,0.431047120,0.431047120,1.136851218,645.277538462,1.136851218,645.277538462
0,seq_matvec,1,0,0.378718194,0.378718194,0.378718194,0.378718194,1.101343139,645.277538462,1.101343139,645.277538462
0,seq_matvec,1,0,0.390476563,0.390476563,0.390476563,0.390476563,1.110094231,493.447529412,1.110094231,493.447529412
0,seq_matvec,1,0,0.320518417,0.320518417,0.320518417,0.320518417,1.096857185,493.447529412,1.096857185,493.447529412
0,seq_matvec,1,0,0.403453636,0.403453636,0.403453636,0.403453636,1.018705269,493.447529412,1.018705269,493.447529412
0,seq_matvec,1,0,0.373491006,0.373491006,0.373491006,0.373491006,1.068595877,493.447529412,1.068595877,493.447529412
0,seq_matvec,1,0,0.417343682,0.417343682,0.417343682,0.417343682,1.070310528,699.050666667,1.070310528,699.050666667
0,seq_matvec,1,0,0.373757263,0.373757263,0.373757263,0.373757263,1.062966440,493.447529412,1.062966440,493.447529412
0,seq_matvec,1,0,0.333781951,0.333781951,0.333781951,0.333781951,1.090912969,493.447529412,1.090912969,493.447529412
0,seq_matvec,1,0,0.402659627,0.402659627,0.402659627,0.402659627,1.032094610,493.447529412,1.032094610,493.447529412
0,seq_matvec,1,0,0.412703336,0.412703336,0.412703336,0.412703336,1.072295169,699.050666667,1.072295169,699.050666667
0,seq_matvec,1,0,0.403240302,0.403240302,0.403240302,0.403240302,1.051819417,493.447529412,1.051819417,493.447529412
0,seq_matvec,1,0,0.417613780,0.417613780,0.417613780,0.417613780,1.064724544,493.447529412,1.064724544,493.447529412
0,seq_matvec,1,0,0.418405307,0.418405307,0.418405307,0.418405307,1.089061734,699.050666667,1.089061734,699.050666667
0,seq_matvec,1,0,0.428733926,0.428733926,0.428733926,0.428733926,1.120072017,493.447529412,1.120072017,493.447529412
0,seq_matvec,1,0,0.434687947,0.434687947,0.434687947,0.434687947,1.146741518,524.288000000,1.146741518,524.288000000
0,seq_matvec,1,0,0.408841408,0.408841408,0.408841408,0.408841408,1.057101657,493.447529412,1.057101657,493.447529412
0,seq_matvec,1,0,0.442787437,0.442787437,0.442787437,0.442787437,1.115607559,524.288000000,1.115607559,524.288000000
0,seq_matvec,1,0,0.375732688,0.375732688,0.375732688,0.375732688,1.109711387,493.447529412,1.109711387,493.447529412
0,seq_matvec,1,0,0.414252247,0.414252247,0.414252247,0.414252247,1.074818087,493.447529412,1.074818087,493.447529412
0,seq_matvec,1,0,0.434417815,0.434417815,0.434417815,0.434417815,1.133553397,699.050666667,1.133553397,699.050666667
0,seq_matvec,1,0,0.409740048,0.409740048,0.409740048,0.409740048,1.077479108,493.447529412,1.077479108,493.447529412
0,seq_matvec,1,0,0.395726389,0.395726389,0.395726389,0.395726389,1.033689068,524.288000000,1.033689068,524.288000000
0,seq_matvec,1,0,0.421305208,0.421305208,0.421305208,0.421305208,1.135100912,645.277538462,1.135100912,645.277538462
0,seq_matvec,1,0,0.437066014,0.437066014,0.437066014,0.437066014,1.121222231,493.447529412,1.121222231,493.447529412
0,seq_matvec,1,0,0.370505190,0.370505190,0.370505190,0.370505190,1.095076650,493.447529412,1.095076650,493.447529412
0,seq_matvec,1,0,0.409100610,0.409100610,0.409100610,0.409100610,1.071231474,493.447529412,1.071231474,493.447529412
0,seq_matvec,1,0,0.419808227,0.419808227,0.419808227,0.419808227,1.082623983,493.447529412,1.082623983,493.447529412
0,seq_matvec,1,0,0.347945083,0.347945083,0.347945083,0.347945083,1.008516587,493.447529412,1.008516587,493.447529412
0,seq_matvec,1,0,0.420523762,0.420523762,0.420523762,0.420523762,1.089113626,493.447529412,1.089113626,493.447529412
0,seq_matvec,1,0,0.399343426,0.399343426,0.399343426,0.399343426,1.068927171,493.447529412,1.068927171,493.447529412
0,seq_matvec,1,0,0.359255161,0.359255161,0.359255161,0.359255161,1.078084937,493.447529412,1.078084937,493.447529412
0,seq_matvec,1,0,0.418071667,0.418071667,0.418071667,0.418071667,1.081611944,524.288000000,1.081611944,524.288000000
0,seq_matvec,1,0,0.415709797,0.415709797,0.415709797,0.415709797,1.085161403,493.447529412,1.085161403,493.447529412
0,seq_matvec,1,0,0.410682855,0.410682855,0.410682855,0.410682855,1.074620227,524.288000000,1.074620227,524.288000000
0,seq_matvec,1,0,0.414334091,0.414334091,0.414334091,0.414334091,1.093346346,645.277538462,1.093346346,645.277538462
0,seq_matvec,1,0,0.414682288,0.414682288,0.414682288,0.414682288,1.077616277,493.447529412,1.077616277,493.447529412
0,seq_matvec,1,0,0.416328751,0.416328751,0.416328751,0.416328751,1.074572322,645.277538462,1.074572322,645.277538462
0,seq_matvec,1,0,0.424181230,0.424181230,0.424181230,0.424181230,1.083674315,493.447529412,1.083674315,493.447529412
0,seq_matvec,1,0,0.420270942,0.420270942,0.420270942,0.420270942,1.081851173,493.447529412,1.081851173,493.447529412
0,seq_matvec,1,0,0.413394835,0.413394835,0.413394835,0.413394835,1.089567292,493.447529412,1.089567292,493.447529412
0,seq_matvec,1,0,0.422748979,0.422748979,0.422748979,0.422748979,1.073973321,645.277538462,1.073973321,645.277538462
0,seq_matvec,1,0,0.434327845,0.434327845,0.434327845,0.434327845,1.122940037,493.447529412,1.122940037,493.447529412
0,seq_matvec,1,0,0.413231921,0.413231921,0.413231921,0.413231921,1.084913692,645.277538462,1.084913692,645.277538462
0,seq_matvec,1,0,0.415627409,0.415627409,0.415627409,0.415627409,1.059196163,493.447529412,1.059196163,493.447529412
0,seq_matvec,1,0,0.436474739,0.436474739,0.436474739,0.436474739,1.135762065,493.447529412,1.135762065,493.447529412
0,seq_matvec,1,0,0.415462731,0.415462731,0.415462731,0.415462731,1.091437856,493.447529412,1.091437856,493.447529412
0,seq_matvec,1,0,0.413659845,0.413659845,0.413659845,0.413659845,1.053308780,493.447529412,1.053308780,493.447529412
0,seq_matvec,1,0,0.379369030,0.379369030,0.379369030,0.379369030,1.091548774,493.447529412,1.091548774,493.447529412
0,seq_matvec,1,0,0.400889271,0.400889271,0.400889271,0.400889271,1.040247776,493.447529412,1.040247776,493.447529412
0,seq_matvec,1,0,0.416659614,0.416659614,0.416659614,0.416659614,1.089971482,524.288000000,1.089971482,524.288000000
0,seq_matvec,1,0,0.379214683,0.379214683,0.379214683,0.379214683,1.070555986,493.447529412,1.070555986,493.447529412
0,seq_matvec,1,0,0.411690616,0.411690616,0.411690616,0.411690616,1.088606511,524.288000000,1.088606511,524.288000000
0,seq_matvec,1,0,0.418050832,0.418050832,0.418050832,0.418050832,1.082033699,493.447529412,1.082033699,493.447529412
0,seq_matvec,1,0,0.420692477,0.420692477,0.420692477,0.420692477,1.082511379,493.447529412,1.082511379,493.447529412
0,seq_matvec,1,0,0.408006226,0.408006226,0.408006226,0.408006226,1.083916417,493.447529412,1.083916417,493.447529412
0,seq_matvec,1,0,0.423902572,0.423902572,0.423902572,0.423902572,1.080804649,524.288000000,1.080804649,524.288000000
0,seq_matvec,1,0,0.380073762,0.380073762,0.380073762,0.380073762,1.091912648,524.288000000,1.091912648,524.288000000
0,seq_matvec,1,0,0.408741802,0.408741802,0.408741802,0.408741802,1.051802931,699.050666667,1.051802931,699.050666667
0,seq_matvec,1,0,0.422387110,0.422387110,0.422387110,0.422387110,1.095199463,493.447529412,1.095199463,493.447529412
0,seq_matvec,1,0,0.418050832,0.418050832,0.418050832,0.418050832,1.083909134,493.447529412,1.083909134,493.447529412
0,seq_matvec,1,0,0.396981118,0.396981118,0.396981118,0.396981118,0.998243324,493.447529412,0.998243324,493.447529412
0,seq_matvec,1,0,0.436679230,0.436679230,0.436679230,0.436679230,1.143404230,289.262344828,1.143404230,289.262344828
0,seq_matvec,1,0,0.428909295,0.428909295,0.428909295,0.428909295,1.117954585,524.288000000,1.117954585,524.288000000
0,seq_matvec,1,0,0.413639448,0.413639448,0.413639448,0.413639448,1.065751383,645.277538462,1.065751383,645.277538462
0,seq_matvec,1,0,0.435817124,0.435817124,0.435817124,0.435817124,1.128737680,493.447529412,1.128737680,493.447529412
0,seq_matvec,1,0,0.437157121,0.437157121,0.437157121,0.437157121,1.120916295,493.447529412,1.120916295,493.447529412
0,seq_matvec,1,0,0.412703336,0.412703336,0.412703336,0.412703336,1.083462686,99.864380952,1.083462686,99.864380952
0,seq_matvec,1,0,0.400334447,0.400334447,0.400334447,0.400334447,1.039438298,493.447529412,1.039438298,493.447529412
0,seq_matvec,1,0,0.383953131,0.383953131,0.383953131,0.383953131,1.114256845,493.447529412,1.114256845,493.447529412
0,seq_matvec,1,0,0.373624087,0.373624087,0.373624087,0.373624087,1.073677644,524.288000000,1.073677644,524.288000000
0,seq_matvec,1,0,0.418405307,0.418405307,0.418405307,0.418405307,1.081203756,493.447529412,1.081203756,493.447529412
0,seq_matvec,1,0,0.369965952,0.369965952,0.369965952,0.369965952,1.080115647,493.447529412,1.080115647,493.447529412
0,seq_matvec,1,0,0.437636060,0.437636060,0.437636060,0.437636060,1.139819398,493.447529412,1.139819398,493.447529412
0,seq_matvec,1,0,0.429744262,0.429744262,0.429744262,0.429744262,1.108411957,524.288000000,1.108411957,524.288000000
0,seq_matvec,1,0,0.427075043,0.427075043,0.427075043,0.427075043,1.133690354,524.288000000,1.133690354,524.288000000
0,seq_matvec,1,0,0.420439455,0.420439455,0.420439455,0.420439455,1.080872748,493.447529412,1.080872748,493.447529412
0,seq_matvec,1,0,0.423816905,0.423816905,0.423816905,0.423816905,1.090051789,493.447529412,1.090051789,493.447529412
0,seq_matvec,1,0,0.412459829,0.412459829,0.412459829,0.412459829,1.079114259,699.050666667,1.079114259,699.050666667
0,seq_matvec,1,0,0.418927687,0.418927687,0.418927687,0.418927687,1.081737753,699.050666667,1.081737753,699.050666667
0,seq_matvec,1,0,0.423902572,0.423902572,0.423902572,0.423902572,1.095052778,645.277538462,1.095052778,645.277538462
0,seq_matvec,1,0,0.376002152,0.376002152,0.376002152,0.376002152,1.084035618,493.447529412,1.084035618,493.447529412
0,seq_matvec,1,0,0.423645674,0.423645674,0.423645674,0.423645674,1.097228482,493.447529412,1.097228482,493.447529412
0,seq_matvec,1,0,0.431313075,0.431313075,0.431313075,0.431313075,1.099090041,645.277538462,1.099090041,645.277538462
0,seq_matvec,1,0,0.405599458,0.405599458,0.405599458,0.405599458,1.069855424,493.447529412,1.069855424,493.447529412
0,seq_matvec,1,0,0.427706521,0.427706521,0.427706521,0.427706521,1.087120538,645.277538462,1.087120538,645.277538462
0,seq_matvec,1,0,0.437066014,0.437066014,0.437066014,0.437066014,1.125035524,645.277538462,1.125035524,645.277538462
0,seq_matvec,1,0,0.409000878,0.409000878,0.409000878,0.409000878,1.034929548,645.277538462,1.034929548,645.277538462
0,seq_matvec,1,0,0.376373295,0.376373295,0.376373295,0.376373295,1.085733323,493.447529412,1.085733323,493.447529412
0,seq_matvec,1,0,0.399362438,0.399362438,0.399362438,0.399362438,1.134713061,645.277538462,1.134713061,645.277538462
0,seq_matvec,1,0,0.332393232,0.332393232,0.332393232,0.332393232,1.121867311,493.447529412,1.121867311,493.447529412
0,seq_matvec,1,0,0.413639448,0.413639448,0.413639448,0.413639448,1.062351378,493.447529412,1.062351378,493.447529412
0,seq_matvec,1,0,0.438116050,0.438116050,0.438116050,0.438116050,1.120225931,645.277538462,1.120225931,645.277538462
0,seq_matvec,1,0,0.388199732,0.388199732,0.388199732,0.388199732,1.111005334,493.447529412,1.111005334,493.447529412
0,seq_matvec,1,0,0.347887364,0.347887364,0.347887364,0.347887364,1.142841417,493.447529412,1.142841417,493.447529412
0,seq_matvec,1,0,0.419367495,0.419367495,0.419367495,0.419367495,1.091230282,493.447529412,1.091230282,493.447529412
0,seq_matvec,1,0,0.408403505,0.408403505,0.408403505,0.408403505,1.091111481,493.447529412,1.091111481,493.447529412
0,seq_matvec,1,0,0.377083880,0.377083880,0.377083880,0.377083880,1.095819090,493.447529412,1.095819090,493.447529412
0,seq_matvec,1,0,0.438803578,0.438803578,0.438803578,0.438803578,1.124338872,699.050666667,1.124338872,699.050666667
0,seq_matvec,1,0,0.420861329,0.420861329,0.420861329,0.420861329,1.087388427,493.447529412,1.087388427,493.447529412
0,seq_matvec,1,0,0.416928827,0.416928827,0.416928827,0.416928827,1.051714447,493.447529412,1.051714447,493.447529412
0,seq_matvec,1,0,0.387357222,0.387357222,0.387357222,0.387357222,1.150785456,645.277538462,1.150785456,645.277538462
