n,trials,total_mean_s,total_std_s,read_mean_s,compute_mean_s,write_mean_s
1000,405,0.004948796172839506,0.000382648077419151,0.001226405575308642,0.003661858180246914,5.505067901234568e-05
2000,115,0.017473966695652175,0.0013251041729943982,0.0032784122782608697,0.014010520173913044,0.00017533434782608697
3000,53,0.03791580562264151,0.0010428838799622247,0.006802852396226415,0.030996265150943395,0.00010266798113207547
4000,30,0.06843165783333334,0.002374214008355566,0.012025783333333333,0.056165783866666666,0.00021754973333333334
5000,20,0.10302596955,0.0020087584875912905,0.0177908507,0.08503541989999999,0.000169992
6000,14,0.14735454857142857,0.004361616565269524,0.024558474642857143,0.122530152,0.00022848335714285715
7000,10,0.2164678849,0.02069356718037919,0.042538872,0.1736620916,0.0002214451
8000,8,0.26331050475,0.007399672867154788,0.044663097375,0.21836591175,0.000234693625
9000,6,0.33402811666666665,0.01109253549475627,0.059337282166666665,0.2744084195,0.00023530583333333333
10000,5,0.4624693118,0.06391606642500583,0.1054915176,0.3564164394,0.0005080604
