n,trial_index,total_s,read_s,compute_s,write_s
1000,1,0.005006356,0.001283892,0.003688076,2.8005e-05
1000,2,0.007139348,0.003122834,0.003927764,8.3911e-05
1000,3,0.005312452,0.001507724,0.003722979,7.6086e-05
1000,4,0.004987412,0.001216866,0.003709595,5.5185e-05
1000,5,0.00681091,0.00302245,0.003711447,7.1453e-05
1000,6,0.006205,0.002316361,0.003827687,5.5495e-05
1000,7,0.005574378,0.001673281,0.003823981,7.1865e-05
1000,8,0.004855317,0.001086418,0.003699196,6.4349e-05
1000,9,0.004601318,0.001041631,0.003508311,4.6331e-05
1000,10,0.004968262,0.001260006,0.003636802,6.2908e-05
1000,11,0.004897632,0.001160136,0.003659659,7.2483e-05
1000,12,0.004906281,0.001139442,0.003683134,7.8454e-05
1000,13,0.00494036,0.001164667,0.003700328,7.0012e-05
1000,14,0.004815677,0.001046573,0.003697136,6.6923e-05
1000,15,0.00493583,0.001078902,0.003767766,8.4323e-05
1000,16,0.005374536,0.001624993,0.003697239,4.7155e-05
1000,17,0.004807338,0.001080137,0.00366872,5.3436e-05
1000,18,0.004812794,0.001086418,0.003681898,3.9433e-05
1000,19,0.004774082,0.001001786,0.003724112,4.3036e-05
1000,20,0.00466927,0.001052853,0.003556701,5.4877e-05
1000,21,0.004972689,0.001306955,0.00351037,0.00015001
1000,22,0.004727957,0.00102526,0.003641642,5.6319e-05
1000,23,0.004641471,0.001089712,0.003498015,4.8596e-05
1000,24,0.004758844,0.001080446,0.003544449,0.000123962
1000,25,0.004745562,0.001075092,0.003607974,5.5803e-05
1000,26,0.004764301,0.001122659,0.003589544,4.7155e-05
1000,27,0.004701393,0.001107009,0.003526843,6.1569e-05
1000,28,0.005576026,0.001683783,0.00359284,0.000294255
1000,29,0.005175929,0.00154098,0.003576263,5.3745e-05
1000,30,0.006294882,0.002624618,0.003610651,5.4671e-05
1000,31,0.005025301,0.001057487,0.00389389,6.7232e-05
1000,32,0.005412322,0.001642806,0.00370805,5.6936e-05
1000,33,0.004909369,0.001069636,0.003715669,0.00011799
1000,34,0.005413042,0.001617375,0.003728127,6.2289e-05
1000,35,0.006041296,0.002269308,0.003716801,4.8906e-05
1000,36,0.0050218,0.00113872,0.003823878,5.395e-05
1000,37,0.004888983,0.00112235,0.003716801,4.3655e-05
1000,38,0.005073588,0.001184434,0.003769208,0.000114284
1000,39,0.004832665,0.001063149,0.00372092,4.3757e-05
1000,40,0.004828342,0.001085492,0.003688488,4.7979e-05
1000,41,0.004781084,0.001109378,0.003550318,0.000116138
1000,42,0.004636426,0.001115967,0.003481438,3.4388e-05
1000,43,0.004950965,0.001128528,0.003758396,5.9098e-05
1000,44,0.004552824,0.000966472,0.003543934,3.6447e-05
1000,45,0.005357857,0.001706846,0.003607871,3.5521e-05
1000,46,0.004884041,0.00112338,0.003699401,5.6319e-05
1000,47,0.004643531,0.00106006,0.003538374,3.8816e-05
1000,48,0.004916886,0.001158695,0.00371536,3.6756e-05
1000,49,0.005154823,0.001239826,0.003807817,0.000100385
1000,50,0.004782834,0.001208527,0.003533227,3.655e-05
1000,51,0.004611099,0.001021451,0.003550214,3.4594e-05
1000,52,0.005436826,0.001733409,0.003659762,3.8712e-05
1000,53,0.004943449,0.001171771,0.003710521,5.4671e-05
1000,54,0.004802704,0.00107015,0.003690135,3.758e-05
1000,55,0.00580027,0.001902673,0.003840763,5.1685e-05
1000,56,0.004797659,0.001079005,0.0036715,4.2213e-05
1000,57,0.005051865,0.001272773,0.003727406,4.489e-05
1000,58,0.005615665,0.001842545,0.003718552,4.942e-05
1000,59,0.004824429,0.001090742,0.003687561,4.036e-05
1000,60,0.004850374,0.001112054,0.003693841,3.933e-05
1000,61,0.004915959,0.001144075,0.003720096,4.6331e-05
1000,62,0.004863862,0.001147884,0.003674795,3.6138e-05
1000,63,0.004875908,0.001102789,0.003715669,5.2715e-05
1000,64,0.004849036,0.001095273,0.003702182,4.5404e-05
1000,65,0.004783349,0.001032571,0.00367778,6.8365e-05
1000,66,0.00479941,0.001045029,0.003708256,4.005e-05
1000,67,0.004892278,0.001149325,0.003683546,5.4156e-05
1000,68,0.004784069,0.001004051,0.003721126,5.2818e-05
1000,69,0.00464281,0.001068812,0.003531064,3.8095e-05
1000,70,0.004890837,0.001107319,0.003727097,5.0964e-05
1000,71,0.004852948,0.001129969,0.003676442,4.108e-05
