n,trial_index,total_s,read_s,compute_s,write_s
5000,1,0.118475487,0.036215281,0.082074109,0.00015983
5000,2,0.124180671,0.041436585,0.08248565,0.000226647
5000,3,0.118853289,0.036023632,0.082566373,0.000235633
5000,4,0.117913072,0.03585743,0.081797607,0.000230904
5000,5,0.117830167,0.035790123,0.081791576,0.000220694
5000,6,0.118275994,0.035828114,0.082185747,0.0002337
5000,7,0.118191415,0.035803137,0.082137436,0.00022346
5000,8,0.117852377,0.03581006,0.081796255,0.000218621
5000,9,0.118506948,0.035793218,0.08246454,0.000222798
5000,10,0.117614511,0.03576782,0.081594625,0.000224622
5000,11,0.118190663,0.035753373,0.082193021,0.000216286
5000,12,0.117999795,0.035781576,0.081967276,0.000222598
5000,13,0.117671327,0.035742393,0.081672844,0.000227178
5000,14,0.118214388,0.035805111,0.082159848,0.000220345
5000,15,0.118049779,0.035945835,0.081831522,0.000239842
5000,16,0.118716793,0.035821592,0.082643708,0.000224072
5000,17,0.117776094,0.035787809,0.081683883,0.000277371
6000,1,0.168532545,0.050134452,0.11818915,0.000178165
6000,2,0.175977006,0.057806268,0.117920826,0.000219332
6000,3,0.168887692,0.050061323,0.11857697,0.00021784
6000,4,0.168616712,0.04977771,0.118605092,0.000201569
6000,5,0.168802883,0.049836891,0.118706363,0.000228561
6000,6,0.167749312,0.049799001,0.11769382,0.000226466
6000,7,0.168883353,0.049859164,0.118764482,0.000227466
6000,8,0.167677777,0.049653276,0.117774299,0.000219472
6000,9,0.168048795,0.049704162,0.118086448,0.000225334
6000,10,0.168156538,0.049903858,0.11799746,0.000225483
6000,11,0.170019629,0.04987336,0.119878504,0.000237467
6000,12,0.167775161,0.049749447,0.117763491,0.000231295
7000,1,0.229457485,0.066846809,0.16240577,0.000172405
7000,2,0.238398828,0.077122642,0.161020537,0.000221907
7000,3,0.2272041,0.066701827,0.160226244,0.000242416
7000,4,0.226649878,0.066165108,0.16022439,0.000225864
7000,5,0.227198359,0.066284843,0.160633598,0.000245021
7000,6,0.226779532,0.066236012,0.160265157,0.000243447
7000,7,0.227107729,0.066326421,0.160509597,0.000237506
7000,8,0.227801462,0.066337813,0.161140461,0.000288652
7000,9,0.226923362,0.066217426,0.160436298,0.00023467
