rows,cols,steps,threads,dx,dy,height,save_interval,repeat,read_time_s,compute_time_s,write_time_s,movie_bytes,movie_path
100,100,500,1,1.0,1.0,0.5,500,1,0.0,0.022665023803710938,0.0,480068,
100,100,500,2,1.0,1.0,0.5,500,1,0.0,0.013647079467773438,0.0,480068,
100,100,500,4,1.0,1.0,0.5,500,1,0.0,0.009027957916259766,0.0,480068,
100,100,500,6,1.0,1.0,0.5,500,1,0.0,0.03081202507019043,0.0,480068,
100,100,500,8,1.0,1.0,0.5,500,1,0.0,0.034600019454956055,0.0,480068,
100,500,500,1,1.0,1.0,0.5,500,1,0.0,0.10781598091125488,0.0,2400068,
100,500,500,2,1.0,1.0,0.5,500,1,0.0,0.061776161193847656,0.0,2400068,
100,500,500,4,1.0,1.0,0.5,500,1,0.0,0.033776044845581055,0.0,2400068,
100,500,500,6,1.0,1.0,0.5,500,1,0.0,0.024821996688842773,0.0,2400068,
100,500,500,8,1.0,1.0,0.5,500,1,0.0,0.09946489334106445,0.0,2400068,
100,1000,500,1,1.0,1.0,0.5,500,1,0.0,0.21118998527526855,0.0,4800068,
100,1000,500,2,1.0,1.0,0.5,500,1,0.0,0.1138620376586914,0.0,4800068,
100,1000,500,4,1.0,1.0,0.5,500,1,0.0,0.06931710243225098,0.0,4800068,
100,1000,500,6,1.0,1.0,0.5,500,1,0.0,0.04515695571899414,0.0,4800068,
100,1000,500,8,1.0,1.0,0.5,500,1,0.0,0.1198720932006836,0.0,4800068,
100,5000,500,1,1.0,1.0,0.5,500,1,0.0,1.0453970432281494,0.0,24000068,
100,5000,500,2,1.0,1.0,0.5,500,1,0.0,0.5555210113525391,0.0,24000068,
100,5000,500,4,1.0,1.0,0.5,500,1,0.0,0.29523205757141113,0.0,24000068,
100,5000,500,6,1.0,1.0,0.5,500,1,0.0,0.21959805488586426,0.0,24000068,
100,5000,500,8,1.0,1.0,0.5,500,1,0.0,0.24195003509521484,0.0,24000068,
100,10000,500,1,1.0,1.0,0.5,500,1,0.0,2.079457998275757,0.0,48000068,
100,10000,500,2,1.0,1.0,0.5,500,1,0.0,1.1159861087799072,0.0,48000068,
100,10000,500,4,1.0,1.0,0.5,500,1,0.0,0.6097290515899658,0.0,48000068,
100,10000,500,6,1.0,1.0,0.5,500,1,0.0,0.5651547908782959,0.0,48000068,
100,10000,500,8,1.0,1.0,0.5,500,1,0.0,0.59197998046875,0.0,48000068,
500,100,500,1,1.0,1.0,0.5,500,1,0.0,0.10728001594543457,0.0,2400068,
500,100,500,2,1.0,1.0,0.5,500,1,0.0,0.05909395217895508,0.0,2400068,
500,100,500,4,1.0,1.0,0.5,500,1,0.0,0.03365206718444824,0.0,2400068,
500,100,500,6,1.0,1.0,0.5,500,1,0.0,0.024486064910888672,0.0,2400068,
500,100,500,8,1.0,1.0,0.5,500,1,0.0,0.037824153900146484,0.0,2400068,
500,500,500,1,1.0,1.0,0.5,500,1,0.0,0.5209140777587891,0.0,12000068,
500,500,500,2,1.0,1.0,0.5,500,1,0.0,0.2806088924407959,0.0,12000068,
500,500,500,4,1.0,1.0,0.5,500,1,0.0,0.15028905868530273,0.0,12000068,
500,500,500,6,1.0,1.0,0.5,500,1,0.0,0.11078310012817383,0.0,12000068,
500,500,500,8,1.0,1.0,0.5,500,1,0.0,0.09308195114135742,0.0,12000068,
500,1000,500,1,1.0,1.0,0.5,500,1,0.0,1.038233995437622,0.0,24000068,
500,1000,500,2,1.0,1.0,0.5,500,1,0.0,0.5596389770507812,0.0,24000068,
500,1000,500,4,1.0,1.0,0.5,500,1,0.0,0.295914888381958,0.0,24000068,
500,1000,500,6,1.0,1.0,0.5,500,1,0.0,0.22406291961669922,0.0,24000068,
500,1000,500,8,1.0,1.0,0.5,500,1,0.0,0.2118849754333496,0.0,24000068,
500,5000,500,1,1.0,1.0,0.5,500,1,0.0,5.432045936584473,0.0,120000068,
500,5000,500,2,1.0,1.0,0.5,500,1,0.0,3.0195860862731934,0.0,120000068,
500,5000,500,4,1.0,1.0,0.5,500,1,0.0,1.7834410667419434,0.0,120000068,
500,5000,500,6,1.0,1.0,0.5,500,1,0.0,1.5178358554840088,0.0,120000068,
500,5000,500,8,1.0,1.0,0.5,500,1,0.0,1.5544960498809814,0.0,120000068,
500,10000,500,1,1.0,1.0,0.5,500,1,0.0,13.93593692779541,0.0,240000068,
500,10000,500,2,1.0,1.0,0.5,500,1,0.0,7.5634050369262695,0.0,240000068,
500,10000,500,4,1.0,1.0,0.5,500,1,0.0,4.090755939483643,0.0,240000068,
500,10000,500,6,1.0,1.0,0.5,500,1,0.0,3.2468531131744385,0.0,240000068,
500,10000,500,8,1.0,1.0,0.5,500,1,0.0,3.143749952316284,0.0,240000068,
1000,100,500,1,1.0,1.0,0.5,500,1,0.0,0.23782610893249512,0.0,4800068,
1000,100,500,2,1.0,1.0,0.5,500,1,0.0,0.12438011169433594,0.0,4800068,
1000,100,500,4,1.0,1.0,0.5,500,1,0.0,0.06939005851745605,0.0,4800068,
1000,100,500,6,1.0,1.0,0.5,500,1,0.0,0.0495450496673584,0.0,4800068,
1000,100,500,8,1.0,1.0,0.5,500,1,0.0,0.04925203323364258,0.0,4800068,
1000,500,500,1,1.0,1.0,0.5,500,1,0.0,1.1891579627990723,0.0,24000068,
1000,500,500,2,1.0,1.0,0.5,500,1,0.0,0.6221048831939697,0.0,24000068,
1000,500,500,4,1.0,1.0,0.5,500,1,0.0,0.3264141082763672,0.0,24000068,
1000,500,500,6,1.0,1.0,0.5,500,1,0.0,0.24086594581604004,0.0,24000068,
1000,500,500,8,1.0,1.0,0.5,500,1,0.0,0.27535200119018555,0.0,24000068,
1000,1000,500,1,1.0,1.0,0.5,500,1,0.0,2.3922970294952393,0.0,48000068,
1000,1000,500,2,1.0,1.0,0.5,500,1,0.0,1.2149410247802734,0.0,48000068,
1000,1000,500,4,1.0,1.0,0.5,500,1,0.0,0.6428570747375488,0.0,48000068,
1000,1000,500,6,1.0,1.0,0.5,500,1,0.0,0.5469880104064941,0.0,48000068,
1000,1000,500,8,1.0,1.0,0.5,500,1,0.0,0.5771219730377197,0.0,48000068,
1000,5000,500,1,1.0,1.0,0.5,500,1,0.0,15.211419105529785,0.0,240000068,
1000,5000,500,2,1.0,1.0,0.5,500,1,0.0,8.621609926223755,0.0,240000068,
1000,5000,500,4,1.0,1.0,0.5,500,1,0.0,4.383097887039185,0.0,240000068,
1000,5000,500,6,1.0,1.0,0.5,500,1,0.0,3.3875319957733154,0.0,240000068,
1000,5000,500,8,1.0,1.0,0.5,500,1,0.0,3.5536859035491943,0.0,240000068,
1000,10000,500,1,1.0,1.0,0.5,500,1,0.0,36.20113682746887,0.0,480000068,
1000,10000,500,2,1.0,1.0,0.5,500,1,0.0,20.522934198379517,0.0,480000068,
1000,10000,500,4,1.0,1.0,0.5,500,1,0.0,10.731993913650513,0.0,480000068,
1000,10000,500,6,1.0,1.0,0.5,500,1,0.0,8.432070970535278,0.0,480000068,
1000,10000,500,8,1.0,1.0,0.5,500,1,0.0,7.942715883255005,0.0,480000068,
5000,100,500,1,1.0,1.0,0.5,500,1,0.0,1.6177408695220947,0.0,24000068,
5000,100,500,2,1.0,1.0,0.5,500,1,0.0,0.8329000473022461,0.0,24000068,
5000,100,500,4,1.0,1.0,0.5,500,1,0.0,0.4467129707336426,0.0,24000068,
5000,100,500,6,1.0,1.0,0.5,500,1,0.0,0.31134986877441406,0.0,24000068,
5000,100,500,8,1.0,1.0,0.5,500,1,0.0,0.6002538204193115,0.0,24000068,
5000,500,500,1,1.0,1.0,0.5,500,1,0.0,8.648472785949707,0.0,120000068,
5000,500,500,2,1.0,1.0,0.5,500,1,0.0,4.571817874908447,0.0,120000068,
5000,500,500,4,1.0,1.0,0.5,500,1,0.0,2.635648012161255,0.0,120000068,
5000,500,500,6,1.0,1.0,0.5,500,1,0.0,1.774000883102417,0.0,120000068,
5000,500,500,8,1.0,1.0,0.5,500,1,0.0,1.8273720741271973,0.0,120000068,
5000,1000,500,1,1.0,1.0,0.5,500,1,0.0,17.89250922203064,0.0,240000068,
5000,1000,500,2,1.0,1.0,0.5,500,1,0.0,10.205421924591064,0.0,240000068,
5000,1000,500,4,1.0,1.0,0.5,500,1,0.0,5.0479090213775635,0.0,240000068,
5000,1000,500,6,1.0,1.0,0.5,500,1,0.0,4.060560941696167,0.0,240000068,
5000,1000,500,8,1.0,1.0,0.5,500,1,0.0,3.77875018119812,0.0,240000068,
5000,5000,500,1,1.0,1.0,0.5,500,1,0.0,90.8301739692688,0.0,1200000068,
5000,5000,500,2,1.0,1.0,0.5,500,1,0.0,36.498672008514404,0.0,1200000068,
5000,5000,500,4,1.0,1.0,0.5,500,1,0.0,18.752980947494507,0.0,1200000068,
5000,5000,500,6,1.0,1.0,0.5,500,1,0.0,15.202052116394043,0.0,1200000068,
5000,5000,500,8,1.0,1.0,0.5,500,1,0.0,16.433125972747803,0.0,1200000068,
5000,10000,500,1,1.0,1.0,0.5,500,1,0.0,160.83558893203735,0.0,2400000068,
5000,10000,500,2,1.0,1.0,0.5,500,1,0.0,62.37641787528992,0.0,2400000068,
5000,10000,500,4,1.0,1.0,0.5,500,1,0.0,36.675084829330444,0.0,2400000068,
5000,10000,500,6,1.0,1.0,0.5,500,1,0.0,35.22953009605408,0.0,2400000068,
5000,10000,500,8,1.0,1.0,0.5,500,1,0.0,35.36726999282837,0.0,2400000068,
10000,100,500,1,1.0,1.0,0.5,500,1,0.0,3.70585298538208,0.0,48000068,
10000,100,500,2,1.0,1.0,0.5,500,1,0.0,1.8949079513549805,0.0,48000068,
10000,100,500,4,1.0,1.0,0.5,500,1,0.0,0.9900848865509033,0.0,48000068,
10000,100,500,6,1.0,1.0,0.5,500,1,0.0,0.7560341358184814,0.0,48000068,
10000,100,500,8,1.0,1.0,0.5,500,1,0.0,0.8139798641204834,0.0,48000068,
10000,500,500,1,1.0,1.0,0.5,500,1,0.0,19.830119132995605,0.0,240000068,
10000,500,500,2,1.0,1.0,0.5,500,1,0.0,11.955635786056519,0.0,240000068,
10000,500,500,4,1.0,1.0,0.5,500,1,0.0,5.5910608768463135,0.0,240000068,
