rows,cols,steps,problem,best_threads,best_speedup,best_efficiency
100,100,1000,10000000,16,5.061195014442923,0.3163246884026827
100,100,2000,20000000,18,5.1437206359463135,0.28576225755257295
100,200,1000,20000000,20,5.97759403013391,0.2988797015066955
200,100,1000,20000000,20,5.9685355761969,0.29842677880984503
100,300,1000,30000000,20,6.946302546793495,0.34731512733967473
300,100,1000,30000000,20,6.937150217193657,0.34685751085968286
100,200,2000,40000000,20,6.197457087500298,0.3098728543750149
200,100,2000,40000000,20,6.429427777739099,0.321471388886955
200,200,1000,40000000,20,7.367802903384166,0.3683901451692083
100,300,2000,60000000,20,6.635866278377834,0.33179331391889166
200,300,1000,60000000,20,7.613478603243012,0.38067393016215056
300,100,2000,60000000,20,7.27710588589399,0.3638552942946995
300,200,1000,60000000,20,7.573148589362296,0.37865742946811476
200,200,2000,80000000,20,7.452089017388118,0.37260445086940586
300,300,1000,90000000,20,7.991354106530771,0.39956770532653857
200,300,2000,120000000,20,7.70496356485625,0.3852481782428125
300,200,2000,120000000,20,7.934122743179887,0.39670613715899433
300,300,2000,180000000,20,8.034459614620795,0.40172298073103974
