rows,cols,steps,threads,dx,dy,height,save_interval,repeat,read_time_s,compute_time_s,write_time_s,movie_bytes,movie_path
100,100,500,1,1.0,1.0,0.5,500,1,0.0,0.010922908782958984,0.0,480068,
100,100,500,2,1.0,1.0,0.5,500,1,0.0,0.04449200630187988,0.0,480068,
100,100,500,4,1.0,1.0,0.5,500,1,0.0,0.07837700843811035,0.0,480068,
100,100,500,6,1.0,1.0,0.5,500,1,0.0,0.1481609344482422,0.0,480068,
100,100,500,8,1.0,1.0,0.5,500,1,0.0,0.15834593772888184,0.0,480068,
100,500,500,1,1.0,1.0,0.5,500,1,0.0,0.049880027770996094,0.0,2400068,
100,500,500,2,1.0,1.0,0.5,500,1,0.0,0.07037997245788574,0.0,2400068,
100,500,500,4,1.0,1.0,0.5,500,1,0.0,0.11504697799682617,0.0,2400068,
100,500,500,6,1.0,1.0,0.5,500,1,0.0,0.1583249568939209,0.0,2400068,
100,500,500,8,1.0,1.0,0.5,500,1,0.0,0.1660480499267578,0.0,2400068,
100,1000,500,1,1.0,1.0,0.5,500,1,0.0,0.09754300117492676,0.0,4800068,
100,1000,500,2,1.0,1.0,0.5,500,1,0.0,0.1123039722442627,0.0,4800068,
100,1000,500,4,1.0,1.0,0.5,500,1,0.0,0.12500810623168945,0.0,4800068,
100,1000,500,6,1.0,1.0,0.5,500,1,0.0,0.16705894470214844,0.0,4800068,
100,1000,500,8,1.0,1.0,0.5,500,1,0.0,0.18260908126831055,0.0,4800068,
100,5000,500,1,1.0,1.0,0.5,500,1,0.0,0.46952199935913086,0.0,24000068,
100,5000,500,2,1.0,1.0,0.5,500,1,0.0,0.34124088287353516,0.0,24000068,
100,5000,500,4,1.0,1.0,0.5,500,1,0.0,0.3244040012359619,0.0,24000068,
100,5000,500,6,1.0,1.0,0.5,500,1,0.0,0.3369309902191162,0.0,24000068,
100,5000,500,8,1.0,1.0,0.5,500,1,0.0,0.354705810546875,0.0,24000068,
100,10000,500,1,1.0,1.0,0.5,500,1,0.0,0.9298782348632812,0.0,48000068,
100,10000,500,2,1.0,1.0,0.5,500,1,0.0,0.6343448162078857,0.0,48000068,
100,10000,500,4,1.0,1.0,0.5,500,1,0.0,0.5992519855499268,0.0,48000068,
100,10000,500,6,1.0,1.0,0.5,500,1,0.0,0.6084718704223633,0.0,48000068,
100,10000,500,8,1.0,1.0,0.5,500,1,0.0,0.6387829780578613,0.0,48000068,
500,100,500,1,1.0,1.0,0.5,500,1,0.0,0.04786205291748047,0.0,2400068,
500,100,500,2,1.0,1.0,0.5,500,1,0.0,0.06866216659545898,0.0,2400068,
500,100,500,4,1.0,1.0,0.5,500,1,0.0,0.11287403106689453,0.0,2400068,
500,100,500,6,1.0,1.0,0.5,500,1,0.0,0.15671205520629883,0.0,2400068,
500,100,500,8,1.0,1.0,0.5,500,1,0.0,0.1645221710205078,0.0,2400068,
500,500,500,1,1.0,1.0,0.5,500,1,0.0,0.23693203926086426,0.0,12000068,
500,500,500,2,1.0,1.0,0.5,500,1,0.0,0.19702386856079102,0.0,12000068,
500,500,500,4,1.0,1.0,0.5,500,1,0.0,0.17661309242248535,0.0,12000068,
500,500,500,6,1.0,1.0,0.5,500,1,0.0,0.2117900848388672,0.0,12000068,
