rows,cols,steps,threads,problem,avg_read_time_s,avg_compute_time_s,avg_write_time_s,speedup,efficiency,count
100,100,1000,1,10000000,0.0,0.020208215713500975,0.0,1.0,1.0,5
100,100,1000,2,10000000,0.0,0.09057698249816895,0.0,0.22310541989969132,0.11155270994984566,5
100,100,1000,4,10000000,0.0,0.1983593463897705,0.0,0.10187680127657006,0.025469200319142515,5
100,100,1000,8,10000000,0.0,0.3102437973022461,0.0,0.06513656643331277,0.008142070804164096,5
100,200,1000,1,20000000,0.0,0.041708755493164065,0.0,1.0,1.0,5
100,200,1000,2,20000000,0.0,0.10896515846252441,0.0,0.3827714847724344,0.1913857423862172,5
100,200,1000,4,20000000,0.0,0.19897403717041015,0.0,0.20961908441071056,0.05240477110267764,5
100,200,1000,8,20000000,0.0,0.3085536003112793,0.0,0.13517507315126728,0.01689688414390841,5
100,300,1000,1,30000000,0.0,0.06133856773376465,0.0,1.0,1.0,5
100,300,1000,2,30000000,0.0,0.11109704971313476,0.0,0.5521169814333308,0.2760584907166654,5
100,300,1000,4,30000000,0.0,0.214516019821167,0.0,0.28593933350478923,0.07148483337619731,5
100,300,1000,8,30000000,0.0,0.32089800834655763,0.0,0.19114661399681027,0.023893326749601283,5
200,100,1000,1,20000000,0.0,0.042528390884399414,0.0,1.0,1.0,5
200,100,1000,2,20000000,0.0,0.10529203414916992,0.0,0.4039089113251279,0.20195445566256395,5
200,100,1000,4,20000000,0.0,0.20709776878356934,0.0,0.2053541722549621,0.05133854306374053,5
200,100,1000,8,20000000,0.0,0.2986303806304932,0.0,0.14241146796454518,0.017801433495568147,5
200,200,1000,1,40000000,0.0,0.08105573654174805,0.0,1.0,1.0,5
200,200,1000,2,40000000,0.0,0.12898898124694824,0.0,0.6283927181854981,0.31419635909274907,5
200,200,1000,4,40000000,0.0,0.7044095993041992,0.0,0.11506904025983346,0.028767260064958364,5
200,200,1000,8,40000000,0.0,0.349547815322876,0.0,0.23188740706869296,0.02898592588358662,5
200,300,1000,1,60000000,0.0,0.1229069709777832,0.0,1.0,1.0,5
200,300,1000,2,60000000,0.0,0.15132017135620118,0.0,0.8122312437015782,0.4061156218507891,5
200,300,1000,4,60000000,0.0,0.2291706085205078,0.0,0.5363121028968452,0.1340780257242113,5
200,300,1000,8,60000000,0.0,0.3499995231628418,0.0,0.3511632526442019,0.04389540658052524,5
300,100,1000,1,30000000,0.0,0.06151256561279297,0.0,1.0,1.0,5
300,100,1000,2,30000000,0.0,0.11773405075073243,0.0,0.5224704766425468,0.2612352383212734,5
300,100,1000,4,30000000,0.0,0.21218461990356446,0.0,0.28990115136879263,0.07247528784219816,5
300,100,1000,8,30000000,0.0,0.3380258083343506,0.0,0.18197594413249418,0.022746993016561773,5
300,200,1000,1,60000000,0.0,0.1190880298614502,0.0,1.0,1.0,5
300,200,1000,2,60000000,0.0,0.15091729164123535,0.0,0.7890946661337488,0.3945473330668744,5
300,200,1000,4,60000000,0.0,0.2297572135925293,0.0,0.5183211791236766,0.12958029478091915,5
300,200,1000,8,60000000,0.0,0.3595249652862549,0.0,0.33123716392443553,0.04140464549055444,5
300,300,1000,1,90000000,0.0,0.17751092910766603,0.0,1.0,1.0,5
300,300,1000,2,90000000,0.0,0.19913983345031738,0.0,0.8913883577790203,0.44569417888951013,5
300,300,1000,4,90000000,0.0,0.2435394287109375,0.0,0.7288796317181059,0.18221990792952647,5
300,300,1000,8,90000000,0.0,0.38225154876708983,0.0,0.46438249807020515,0.058047812258775644,5
