rows,cols,steps,problem,best_threads,best_speedup,best_efficiency
100,100,1000,10000000,12,1.5953287677509251,0.13294406397924377
100,100,2000,20000000,8,1.4085884050326565,0.17607355062908206
100,200,1000,20000000,14,2.297781510410217,0.16412725074358692
200,100,1000,20000000,8,2.1705698827931936,0.2713212353491492
100,300,1000,30000000,12,2.6750013146644487,0.2229167762220374
300,100,1000,30000000,12,2.6537508773782084,0.22114590644818402
100,200,2000,40000000,8,2.1882363347538494,0.27352954184423117
200,100,2000,40000000,8,2.167999592058421,0.2709999490073026
200,200,1000,40000000,10,2.9940563077870523,0.29940563077870525
100,300,2000,60000000,10,2.7280796639728027,0.2728079663972803
200,300,1000,60000000,12,3.614976873944644,0.30124807282872035
300,100,2000,60000000,12,2.85205798233516,0.23767149852793001
300,200,1000,60000000,12,3.692900592251093,0.3077417160209244
200,200,2000,80000000,14,3.1088769621162786,0.22206264015116275
300,300,1000,90000000,14,4.327889823924011,0.3091349874231436
200,300,2000,120000000,14,3.839540394135359,0.2742528852953828
300,200,2000,120000000,14,3.7974525826296297,0.27124661304497355
300,300,2000,180000000,14,4.395469976817261,0.31396214120123295
