rows,cols,iterations,input,final,stack,read_s,compute_s,write_s,overall_s
128,128,10,../data/initial.dat,../data/final_serial.dat,disabled,6.294250488e-05,1.151561737e-04,9.584426880e-05,2.789497375e-04
128,128,10,../data/initial.dat,../data/final_serial.dat,disabled,8.201599121e-05,1.051425934e-04,2.100467682e-04,4.010200500e-04
128,128,10,../data/initial.dat,../data/final_serial.dat,disabled,5.292892456e-05,1.270771027e-04,2.059936523e-04,3.890991211e-04
128,128,10,../data/initial.dat,../data/final_serial.dat,disabled,5.793571472e-05,9.608268738e-05,1.618862152e-04,3.190040588e-04
128,128,10,../data/initial.dat,../data/final_serial.dat,disabled,5.507469177e-05,1.029968262e-04,1.790523529e-04,3.399848938e-04
128,128,30,../data/initial.dat,../data/final_serial.dat,disabled,6.198883057e-05,2.710819244e-04,1.769065857e-04,5.149841309e-04
128,128,30,../data/initial.dat,../data/final_serial.dat,disabled,6.198883057e-05,2.849102020e-04,1.790523529e-04,5.300045013e-04
128,128,30,../data/initial.dat,../data/final_serial.dat,disabled,6.294250488e-05,2.419948578e-04,1.618862152e-04,4.708766937e-04
128,128,30,../data/initial.dat,../data/final_serial.dat,disabled,5.197525024e-05,2.400875092e-04,1.718997955e-04,4.670619965e-04
128,128,30,../data/initial.dat,../data/final_serial.dat,disabled,5.197525024e-05,2.491474152e-04,1.599788666e-04,4.651546478e-04
128,128,50,../data/initial.dat,../data/final_serial.dat,disabled,5.578994751e-05,3.759860992e-04,1.580715179e-04,5.939006805e-04
128,128,50,../data/initial.dat,../data/final_serial.dat,disabled,6.008148193e-05,4.029273987e-04,2.119541168e-04,6.799697876e-04
128,128,50,../data/initial.dat,../data/final_serial.dat,disabled,5.984306335e-05,4.460811615e-04,1.759529114e-04,6.859302521e-04
128,128,50,../data/initial.dat,../data/final_serial.dat,disabled,5.006790161e-05,3.759860992e-04,1.640319824e-04,5.929470062e-04
128,128,50,../data/initial.dat,../data/final_serial.dat,disabled,5.698204041e-05,3.831386566e-04,1.549720764e-04,5.991458893e-04
128,128,70,../data/initial.dat,../data/final_serial.dat,disabled,6.318092346e-05,5.481243134e-04,1.890659332e-04,8.041858673e-04
128,128,70,../data/initial.dat,../data/final_serial.dat,disabled,6.484985352e-05,5.280971527e-04,2.050399780e-04,8.020401001e-04
128,128,70,../data/initial.dat,../data/final_serial.dat,disabled,5.698204041e-05,6.020069122e-04,1.771450043e-04,8.401870728e-04
128,128,70,../data/initial.dat,../data/final_serial.dat,disabled,5.507469177e-05,5.311965942e-04,1.499652863e-04,7.390975952e-04
128,128,70,../data/initial.dat,../data/final_serial.dat,disabled,5.412101746e-05,5.278587341e-04,1.571178436e-04,7.431507111e-04
128,128,90,../data/initial.dat,../data/final_serial.dat,disabled,6.389617920e-05,7.150173187e-04,2.038478851e-04,9.868144989e-04
128,128,90,../data/initial.dat,../data/final_serial.dat,disabled,6.508827209e-05,6.868839264e-04,1.055955887e-03,1.811981201e-03
128,128,90,../data/initial.dat,../data/final_serial.dat,disabled,6.318092346e-05,7.019042969e-04,2.100467682e-04,9.801387787e-04
128,128,90,../data/initial.dat,../data/final_serial.dat,disabled,5.388259888e-05,6.620883942e-04,1.587867737e-04,8.788108826e-04
128,128,90,../data/initial.dat,../data/final_serial.dat,disabled,5.912780762e-05,7.069110870e-04,1.618862152e-04,9.319782257e-04
128,128,110,../data/initial.dat,../data/final_serial.dat,disabled,7.200241089e-05,8.301734924e-04,1.888275146e-04,1.095771790e-03
128,128,110,../data/initial.dat,../data/final_serial.dat,disabled,6.198883057e-05,8.189678192e-04,1.730918884e-04,1.059055328e-03
128,128,110,../data/initial.dat,../data/final_serial.dat,disabled,4.696846008e-05,8.311271667e-04,1.559257507e-04,1.037836075e-03
128,128,110,../data/initial.dat,../data/final_serial.dat,disabled,6.794929504e-05,8.518695831e-04,1.549720764e-04,1.079797745e-03
128,128,110,../data/initial.dat,../data/final_serial.dat,disabled,5.698204041e-05,8.199214935e-04,1.718997955e-04,1.052856445e-03
128,128,130,../data/initial.dat,../data/final_serial.dat,disabled,6.508827209e-05,9.629726410e-04,1.740455627e-04,1.206159592e-03
128,128,130,../data/initial.dat,../data/final_serial.dat,disabled,5.912780762e-05,9.770393372e-04,1.730918884e-04,1.213073730e-03
