N,I,T,serial_time_s,pth_time_s,speedup,efficiency,serial_times_all,pth_times_all,serial_cmd,pth_cmd,case_dir
100,5,1,0.001344923,0.001921814,0.699820,0.699820,0.001593386;0.002117749;0.001344923,0.001925589;0.002170991;0.001921814,/home/chief/github/CCUCoding/CSCI473/Code/stencil_proj/code/stencil-2d initial.dat serial_final.dat 5,/home/chief/github/CCUCoding/CSCI473/Code/stencil_proj/code/pth-stencil-2d -n 5 -I initial.dat -o pth_final.dat -t 1 -s pth_stack.dat,/home/chief/github/CCUCoding/CSCI473/Code/stencil_proj/data/N100_I5_T1
100,5,2,0.001668455,0.002320721,0.718938,0.359469,0.002507273;0.001736793;0.001668455,0.002373046;0.002320721;0.002437712,/home/chief/github/CCUCoding/CSCI473/Code/stencil_proj/code/stencil-2d initial.dat serial_final.dat 5,/home/chief/github/CCUCoding/CSCI473/Code/stencil_proj/code/pth-stencil-2d -n 5 -I initial.dat -o pth_final.dat -t 2 -s pth_stack.dat,/home/chief/github/CCUCoding/CSCI473/Code/stencil_proj/data/N100_I5_T2
100,5,3,0.001465381,0.002789905,0.525244,0.175081,0.001637449;0.001465381;0.001511585,0.002952079;0.002789905;0.002858140,/home/chief/github/CCUCoding/CSCI473/Code/stencil_proj/code/stencil-2d initial.dat serial_final.dat 5,/home/chief/github/CCUCoding/CSCI473/Code/stencil_proj/code/pth-stencil-2d -n 5 -I initial.dat -o pth_final.dat -t 3 -s pth_stack.dat,/home/chief/github/CCUCoding/CSCI473/Code/stencil_proj/data/N100_I5_T3
100,5,4,0.001518929,0.002482284,0.611908,0.152977,0.001752296;0.001518929;0.001576761,0.002507171;0.002482284;0.002936779,/home/chief/github/CCUCoding/CSCI473/Code/stencil_proj/code/stencil-2d initial.dat serial_final.dat 5,/home/chief/github/CCUCoding/CSCI473/Code/stencil_proj/code/pth-stencil-2d -n 5 -I initial.dat -o pth_final.dat -t 4 -s pth_stack.dat,/home/chief/github/CCUCoding/CSCI473/Code/stencil_proj/data/N100_I5_T4
100,5,5,0.001437536,0.002731155,0.526347,0.105269,0.001554321;0.001437536;0.002940044,0.002731155;0.002798982;0.004712943,/home/chief/github/CCUCoding/CSCI473/Code/stencil_proj/code/stencil-2d initial.dat serial_final.dat 5,/home/chief/github/CCUCoding/CSCI473/Code/stencil_proj/code/pth-stencil-2d -n 5 -I initial.dat -o pth_final.dat -t 5 -s pth_stack.dat,/home/chief/github/CCUCoding/CSCI473/Code/stencil_proj/data/N100_I5_T5
100,5,6,0.001362262,0.002786029,0.488962,0.081494,0.001417443;0.001362262;0.003396783,0.003099158;0.002786029;0.004629816,/home/chief/github/CCUCoding/CSCI473/Code/stencil_proj/code/stencil-2d initial.dat serial_final.dat 5,/home/chief/github/CCUCoding/CSCI473/Code/stencil_proj/code/pth-stencil-2d -n 5 -I initial.dat -o pth_final.dat -t 6 -s pth_stack.dat,/home/chief/github/CCUCoding/CSCI473/Code/stencil_proj/data/N100_I5_T6
100,5,7,0.001584819,0.003092426,0.512484,0.073212,0.001584819;0.001626637;0.002080113,0.003092426;0.003259190;0.003250418,/home/chief/github/CCUCoding/CSCI473/Code/stencil_proj/code/stencil-2d initial.dat serial_final.dat 5,/home/chief/github/CCUCoding/CSCI473/Code/stencil_proj/code/pth-stencil-2d -n 5 -I initial.dat -o pth_final.dat -t 7 -s pth_stack.dat,/home/chief/github/CCUCoding/CSCI473/Code/stencil_proj/data/N100_I5_T7
100,5,8,0.001442431,0.003217983,0.448241,0.056030,0.001486086;0.001849805;0.001442431,0.003217983;0.003446863;0.003878206,/home/chief/github/CCUCoding/CSCI473/Code/stencil_proj/code/stencil-2d initial.dat serial_final.dat 5,/home/chief/github/CCUCoding/CSCI473/Code/stencil_proj/code/pth-stencil-2d -n 5 -I initial.dat -o pth_final.dat -t 8 -s pth_stack.dat,/home/chief/github/CCUCoding/CSCI473/Code/stencil_proj/data/N100_I5_T8
100,6,1,0.001501794,0.002365906,0.634765,0.634765,0.001501794;0.001882137;0.001853579,0.002365906;0.002463007;0.003062541,/home/chief/github/CCUCoding/CSCI473/Code/stencil_proj/code/stencil-2d initial.dat serial_final.dat 6,/home/chief/github/CCUCoding/CSCI473/Code/stencil_proj/code/pth-stencil-2d -n 6 -I initial.dat -o pth_final.dat -t 1 -s pth_stack.dat,/home/chief/github/CCUCoding/CSCI473/Code/stencil_proj/data/N100_I6_T1
100,6,2,0.001505874,0.002328575,0.646693,0.323347,0.001505874;0.002021158;0.001514034,0.002328575;0.003757748;0.002668427,/home/chief/github/CCUCoding/CSCI473/Code/stencil_proj/code/stencil-2d initial.dat serial_final.dat 6,/home/chief/github/CCUCoding/CSCI473/Code/stencil_proj/code/pth-stencil-2d -n 6 -I initial.dat -o pth_final.dat -t 2 -s pth_stack.dat,/home/chief/github/CCUCoding/CSCI473/Code/stencil_proj/data/N100_I6_T2
